año,mes,tipo_acomodacion,provincia,pais_residencia,total_pernoctaciones,total_viajeros
2016,Agosto,apartamentos,Barcelona,,4.74,
2016,Septiembre,apartamentos,Barcelona,,4.92,
2016,Octubre,apartamentos,Barcelona,,5.39,
2016,Noviembre,apartamentos,Barcelona,,6.66,
2016,Diciembre,apartamentos,Barcelona,,6.33,
2016,Enero,apartamentos,Girona,,3.47,
2016,Febrero,apartamentos,Girona,,3.43,
2016,Marzo,apartamentos,Girona,,3.19,
2016,Abril,apartamentos,Girona,,3.7,
2016,Mayo,apartamentos,Girona,,4.48,
2016,Junio,apartamentos,Girona,,5.85,
2016,Julio,apartamentos,Girona,,7.04,
2016,Agosto,apartamentos,Girona,,9.5,
2016,Septiembre,apartamentos,Girona,,7.75,
2016,Octubre,apartamentos,Girona,,4.14,
2016,Noviembre,apartamentos,Girona,,2.54,
2016,Diciembre,apartamentos,Girona,,2.57,
2016,Enero,apartamentos,Madrid,,4.11,
2016,Febrero,apartamentos,Madrid,,3.89,
2016,Marzo,apartamentos,Madrid,,3.6,
2016,Abril,apartamentos,Madrid,,3.73,
2016,Mayo,apartamentos,Madrid,,3.54,
2016,Junio,apartamentos,Madrid,,3.39,
2016,Julio,apartamentos,Madrid,,3.72,
2016,Agosto,apartamentos,Madrid,,3.73,
2016,Septiembre,apartamentos,Madrid,,3.48,
2016,Octubre,apartamentos,Madrid,,3.52,
2016,Noviembre,apartamentos,Madrid,,3.72,
2016,Diciembre,apartamentos,Madrid,,3.61,
2016,Enero,apartamentos,Málaga,,5.57,
2016,Febrero,apartamentos,Málaga,,5.91,
2016,Marzo,apartamentos,Málaga,,5.8,
2016,Abril,apartamentos,Málaga,,5.28,
2016,Mayo,apartamentos,Málaga,,5.26,
2016,Junio,apartamentos,Málaga,,5.71,
2016,Julio,apartamentos,Málaga,,5.98,
2016,Agosto,apartamentos,Málaga,,6.53,
2016,Septiembre,apartamentos,Málaga,,5.64,
2016,Octubre,apartamentos,Málaga,,5.78,
2016,Noviembre,apartamentos,Málaga,,5.85,
2016,Diciembre,apartamentos,Málaga,,4.73,
2016,Enero,apartamentos,Sevilla,,2.75,
2016,Febrero,apartamentos,Sevilla,,2.49,
2016,Marzo,apartamentos,Sevilla,,2.8,
2016,Abril,apartamentos,Sevilla,,2.52,
2016,Mayo,apartamentos,Sevilla,,2.46,
2016,Junio,apartamentos,Sevilla,,2.37,
2016,Julio,apartamentos,Sevilla,,2.45,
2016,Agosto,apartamentos,Sevilla,,2.7,
2016,Septiembre,apartamentos,Sevilla,,2.55,
2016,Octubre,apartamentos,Sevilla,,2.59,
2016,Noviembre,apartamentos,Sevilla,,2.41,
2016,Diciembre,apartamentos,Sevilla,,2.57,
2016,Enero,apartamentos,Valencia/Valéncia,,4.18,
2016,Febrero,apartamentos,Valencia/Valéncia,,4.42,
2016,Marzo,apartamentos,Valencia/Valéncia,,3.91,
2016,Abril,apartamentos,Valencia/Valéncia,,3.46,
2016,Mayo,apartamentos,Valencia/Valéncia,,3.85,
2016,Junio,apartamentos,Valencia/Valéncia,,6.5,
2016,Julio,apartamentos,Valencia/Valéncia,,8.68,
2016,Agosto,apartamentos,Valencia/Valéncia,,9.9,
2016,Septiembre,apartamentos,Valencia/Valéncia,,5.67,
2016,Octubre,apartamentos,Valencia/Valéncia,,4.48,
2016,Noviembre,apartamentos,Valencia/Valéncia,,3.97,
2016,Diciembre,apartamentos,Valencia/Valéncia,,3.76,
2017,Enero,apartamentos,"Balears, Illes",,7.27,
2017,Febrero,apartamentos,"Balears, Illes",,6.55,
2017,Marzo,apartamentos,"Balears, Illes",,6.52,
2017,Abril,apartamentos,"Balears, Illes",,5.47,
2017,Mayo,apartamentos,"Balears, Illes",,5.53,
2017,Junio,apartamentos,"Balears, Illes",,6.01,
2017,Julio,apartamentos,"Balears, Illes",,6.61,
2017,Agosto,apartamentos,"Balears, Illes",,7.24,
2017,Septiembre,apartamentos,"Balears, Illes",,6.31,
2017,Octubre,apartamentos,"Balears, Illes",,6.93,
2017,Noviembre,apartamentos,"Balears, Illes",,7.97,
2017,Diciembre,apartamentos,"Balears, Illes",,6.45,
2017,Enero,apartamentos,Barcelona,,8.13,
2017,Febrero,apartamentos,Barcelona,,7.09,
