city,neighborhood,criterion,total_listings,current_meeting,current_pct,below_target,avg_below_score,fixable_listings,potential_score,avg_current_min_nights,avg_current_max_nights,rank_in_city
Madrid,San Diego,Rating ≥ 80,24,22,0.9166666666666666,2,50.0,0,0.4416666666666667,,,4
Madrid,Guindalera,Rating ≥ 80,34,33,0.9705882352941176,1,78.0,1,0.405,,,19
Madrid,Valdefuentes,Rating ≥ 80,7,6,0.8571428571428571,1,78.0,1,0.405,,,19
Madrid,Concepción,Rating ≥ 80,10,10,1.0,0,0.0,0,0.0,,,30
Madrid,Jerónimos,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,30
Madrid,Casa De Campo,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Numancia,Rating ≥ 80,17,17,1.0,0,0.0,0,0.0,,,30
Madrid,Moscardó,Rating ≥ 80,5,4,0.8,1,73.0,0,0.3375000000000001,,,28
Madrid,Vallehermoso,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Vinateros,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Canillas,Rating ≥ 80,10,9,0.9,1,65.0,0,0.3975000000000001,,,22
Madrid,Puerta Del Angel,Rating ≥ 80,23,23,1.0,0,0.0,0,0.0,,,30
Madrid,Arapiles,Rating ≥ 80,17,16,0.9411764705882353,1,67.0,0,0.4089705882352941,,,16
Madrid,Fontarrón,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,Chopera,Rating ≥ 80,13,12,0.9230769230769231,1,60.0,0,0.41923076923076924,,,11
Madrid,Campamento,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Pilar,Rating ≥ 80,8,7,0.875,1,78.0,1,0.405,,,19
Madrid,Quintana,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,San Andrés,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,30
Madrid,Alameda De Osuna,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Valdezarza,Rating ≥ 80,4,3,0.75,1,60.0,0,0.35000000000000003,,,27
Madrid,Fuente Del Berro,Rating ≥ 80,11,11,1.0,0,0.0,0,0.0,,,30
Madrid,Puerta Bonita,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Berruguete,Rating ≥ 80,14,14,1.0,0,0.0,0,0.0,,,30
Madrid,Adelfas,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,Piovera,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,La Paz,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Bellas Vistas,Rating ≥ 80,11,11,1.0,0,0.0,0,0.0,,,30
Madrid,Palomeras Sureste,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Almendrales,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,30
Madrid,Buenavista,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Nueva España,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,30
Madrid,Costillares,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Valverde,Rating ≥ 80,8,7,0.875,1,73.0,0,0.36750000000000005,,,24
Madrid,Peñagrande,Rating ≥ 80,9,9,1.0,0,0.0,0,0.0,,,30
Madrid,Casco Histórico De Barajas,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Aguilas,Rating ≥ 80,9,7,0.7777777777777778,2,60.0,0,0.3611111111111111,,,26
Madrid,Canillejas,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Hellín,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Opañel,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,Casco Histórico De Vicálvaro,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Lucero,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,30
Madrid,Rejas,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,Zofío,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,30
Madrid,Niño Jesús,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,San Isidro,Rating ≥ 80,11,11,1.0,0,0.0,0,0.0,,,30
Madrid,Estrella,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Entrevías,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,30
Madrid,Media Legua,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,San Cristobal,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,30
Madrid,Rosas,Rating ≥ 80,8,6,0.75,2,65.0,0,0.3375,,,29
Madrid,Orcasur,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Los Rosales,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Madrid,Arcos,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,30
Sevilla,San Vicente,Rating ≥ 80,19,19,1.0,0,0.0,0,0.0,,,6
Sevilla,Arenal,Rating ≥ 80,35,35,1.0,0,0.0,0,0.0,,,6
Sevilla,Alfalfa,Rating ≥ 80,52,50,0.9615384615384616,2,71.0,1,0.4148076923076924,,,3
Sevilla,Los Remedios,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,6
Sevilla,San Julián,Rating ≥ 80,15,15,1.0,0,0.0,0,0.0,,,6
Sevilla,San Bartolomé,Rating ≥ 80,33,33,1.0,0,0.0,0,0.0,,,6
Sevilla,An Roque,Rating ≥ 80,5,4,0.8,1,20.0,0,0.4700000000000001,,,1
