Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;21.644
Balears, Illes;Total;Febrero;35.352
Balears, Illes;Total;Marzo;100.870
Balears, Illes;Total;Abril;213.141
Balears, Illes;Total;Mayo;1.122.121
Balears, Illes;Total;Junio;1.610.909
Balears, Illes;Total;Julio;2.092.133
Balears, Illes;Total;Agosto;2.205.918
Balears, Illes;Total;Septiembre;1.683.513
Balears, Illes;Total;Octubre;837.231
Balears, Illes;Total;Noviembre;39.346
Balears, Illes;Total;Diciembre;35.546
Balears, Illes;Residentes en España;Enero;2.826
Balears, Illes;Residentes en España;Febrero;5.889
Balears, Illes;Residentes en España;Marzo;18.386
Balears, Illes;Residentes en España;Abril;19.325
Balears, Illes;Residentes en España;Mayo;83.896
Balears, Illes;Residentes en España;Junio;151.161
Balears, Illes;Residentes en España;Julio;202.469
Balears, Illes;Residentes en España;Agosto;219.592
Balears, Illes;Residentes en España;Septiembre;160.717
Balears, Illes;Residentes en España;Octubre;44.474
Balears, Illes;Residentes en España;Noviembre;6.533
Balears, Illes;Residentes en España;Diciembre;7.009
Balears, Illes;No residentes en España;Enero;18.818
Balears, Illes;No residentes en España;Febrero;29.463
Balears, Illes;No residentes en España;Marzo;82.484
Balears, Illes;No residentes en España;Abril;193.816
Balears, Illes;No residentes en España;Mayo;1.038.224
Balears, Illes;No residentes en España;Junio;1.459.748
Balears, Illes;No residentes en España;Julio;1.889.663
Balears, Illes;No residentes en España;Agosto;1.986.326
Balears, Illes;No residentes en España;Septiembre;1.522.796
Balears, Illes;No residentes en España;Octubre;792.757
Balears, Illes;No residentes en España;Noviembre;32.813
Balears, Illes;No residentes en España;Diciembre;28.537
Balears, Illes;Unión Europea (sin España);Enero;16.580
Balears, Illes;Unión Europea (sin España);Febrero;26.993
Balears, Illes;Unión Europea (sin España);Marzo;76.697
Balears, Illes;Unión Europea (sin España);Abril;181.596
Balears, Illes;Unión Europea (sin España);Mayo;998.002
Balears, Illes;Unión Europea (sin España);Junio;1.385.459
Balears, Illes;Unión Europea (sin España);Julio;1.771.288
Balears, Illes;Unión Europea (sin España);Agosto;1.890.853
Balears, Illes;Unión Europea (sin España);Septiembre;1.450.833
Balears, Illes;Unión Europea (sin España);Octubre;759.982
Balears, Illes;Unión Europea (sin España);Noviembre;29.575
Balears, Illes;Unión Europea (sin España);Diciembre;25.182
Balears, Illes;Alemania;Enero;11.697
Balears, Illes;Alemania;Febrero;20.940
Balears, Illes;Alemania;Marzo;44.379
Balears, Illes;Alemania;Abril;71.948
Balears, Illes;Alemania;Mayo;267.081
Balears, Illes;Alemania;Junio;300.335
Balears, Illes;Alemania;Julio;385.032
Balears, Illes;Alemania;Agosto;409.112
Balears, Illes;Alemania;Septiembre;329.612
Balears, Illes;Alemania;Octubre;294.082
Balears, Illes;Alemania;Noviembre;15.252
Balears, Illes;Alemania;Diciembre;16.307
Balears, Illes;Austria;Enero;1.734
Balears, Illes;Austria;Febrero;397
Balears, Illes;Austria;Marzo;875
Balears, Illes;Austria;Abril;857
Balears, Illes;Austria;Mayo;2.413
Balears, Illes;Austria;Junio;3.328
Balears, Illes;Austria;Julio;6.677
Balears, Illes;Austria;Agosto;8.282
Balears, Illes;Austria;Septiembre;31.516
Balears, Illes;Austria;Octubre;1.674
Balears, Illes;Austria;Noviembre;680
Balears, Illes;Austria;Diciembre;443
Balears, Illes;Bélgica;Enero;..
Balears, Illes;Bélgica;Febrero;..
Balears, Illes;Bélgica;Marzo;1.045
Balears, Illes;Bélgica;Abril;788
Balears, Illes;Bélgica;Mayo;6.018
Balears, Illes;Bélgica;Junio;7.688
Balears, Illes;Bélgica;Julio;13.541
Balears, Illes;Bélgica;Agosto;12.940
Balears, Illes;Bélgica;Septiembre;14.367
Balears, Illes;Bélgica;Octubre;4.618
Balears, Illes;Bélgica;Noviembre;238
Balears, Illes;Bélgica;Diciembre;95
Balears, Illes;Dinamarca;Enero;206
Balears, Illes;Dinamarca;Febrero;229
Balears, Illes;Dinamarca;Marzo;939
Balears, Illes;Dinamarca;Abril;7.644
Balears, Illes;Dinamarca;Mayo;36.873
Balears, Illes;Dinamarca;Junio;24.817
Balears, Illes;Dinamarca;Julio;79.735
Balears, Illes;Dinamarca;Agosto;42.702
Balears, Illes;Dinamarca;Septiembre;29.182
Balears, Illes;Dinamarca;Octubre;21.859
Balears, Illes;Dinamarca;Noviembre;272
Balears, Illes;Dinamarca;Diciembre;666
Balears, Illes;Finlandia;Enero;..
Balears, Illes;Finlandia;Febrero;..
Balears, Illes;Finlandia;Marzo;291
Balears, Illes;Finlandia;Abril;1.347
Balears, Illes;Finlandia;Mayo;3.596
Balears, Illes;Finlandia;Junio;6.774
Balears, Illes;Finlandia;Julio;5.920
Balears, Illes;Finlandia;Agosto;5.525
Balears, Illes;Finlandia;Septiembre;6.220
Balears, Illes;Finlandia;Octubre;4.842
Balears, Illes;Finlandia;Noviembre;1.104
Balears, Illes;Finlandia;Diciembre;1.706
Balears, Illes;Francia;Enero;214
Balears, Illes;Francia;Febrero;368
Balears, Illes;Francia;Marzo;751
Balears, Illes;Francia;Abril;5.550
Balears, Illes;Francia;Mayo;30.082
Balears, Illes;Francia;Junio;46.364
Balears, Illes;Francia;Julio;76.263
Balears, Illes;Francia;Agosto;93.098
Balears, Illes;Francia;Septiembre;47.812
Balears, Illes;Francia;Octubre;10.621
Balears, Illes;Francia;Noviembre;316
Balears, Illes;Francia;Diciembre;426
Balears, Illes;Grecia;Enero;..
Balears, Illes;Grecia;Febrero;..
Balears, Illes;Grecia;Marzo;..
Balears, Illes;Grecia;Abril;..
Balears, Illes;Grecia;Mayo;167
Balears, Illes;Grecia;Junio;424
Balears, Illes;Grecia;Julio;622
Balears, Illes;Grecia;Agosto;1.051
Balears, Illes;Grecia;Septiembre;280
Balears, Illes;Grecia;Octubre;274
Balears, Illes;Grecia;Noviembre;..
Balears, Illes;Grecia;Diciembre;..
Balears, Illes;Irlanda;Enero;..
Balears, Illes;Irlanda;Febrero;..
Balears, Illes;Irlanda;Marzo;621
Balears, Illes;Irlanda;Abril;8.998
Balears, Illes;Irlanda;Mayo;52.457
Balears, Illes;Irlanda;Junio;52.911
Balears, Illes;Irlanda;Julio;74.425
Balears, Illes;Irlanda;Agosto;57.102
Balears, Illes;Irlanda;Septiembre;54.674
Balears, Illes;Irlanda;Octubre;20.093
Balears, Illes;Irlanda;Noviembre;406
Balears, Illes;Irlanda;Diciembre;..
Balears, Illes;Italia;Enero;360
Balears, Illes;Italia;Febrero;361
Balears, Illes;Italia;Marzo;923
Balears, Illes;Italia;Abril;1.808
Balears, Illes;Italia;Mayo;39.106
Balears, Illes;Italia;Junio;95.631
Balears, Illes;Italia;Julio;130.642
Balears, Illes;Italia;Agosto;187.234
Balears, Illes;Italia;Septiembre;93.834
Balears, Illes;Italia;Octubre;10.196
Balears, Illes;Italia;Noviembre;280
Balears, Illes;Italia;Diciembre;251
Balears, Illes;Luxemburgo;Enero;..
Balears, Illes;Luxemburgo;Febrero;..
Balears, Illes;Luxemburgo;Marzo;32
Balears, Illes;Luxemburgo;Abril;634
Balears, Illes;Luxemburgo;Mayo;1.672
Balears, Illes;Luxemburgo;Junio;992
Balears, Illes;Luxemburgo;Julio;3.566
Balears, Illes;Luxemburgo;Agosto;3.975
Balears, Illes;Luxemburgo;Septiembre;1.767
Balears, Illes;Luxemburgo;Octubre;1.142
Balears, Illes;Luxemburgo;Noviembre;..
Balears, Illes;Luxemburgo;Diciembre;..
