Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;2.519
07 Balears, Illes;Total;Febrero;5.340
07 Balears, Illes;Total;Marzo;12.749
07 Balears, Illes;Total;Abril;51.310
07 Balears, Illes;Total;Mayo;199.369
07 Balears, Illes;Total;Junio;256.852
07 Balears, Illes;Total;Julio;295.875
07 Balears, Illes;Total;Agosto;282.176
07 Balears, Illes;Total;Septiembre;247.694
07 Balears, Illes;Total;Octubre;113.119
07 Balears, Illes;Total;Noviembre;5.504
07 Balears, Illes;Total;Diciembre;4.897
07 Balears, Illes;Residentes en España;Enero;771
07 Balears, Illes;Residentes en España;Febrero;1.056
07 Balears, Illes;Residentes en España;Marzo;3.123
07 Balears, Illes;Residentes en España;Abril;4.589
07 Balears, Illes;Residentes en España;Mayo;25.184
07 Balears, Illes;Residentes en España;Junio;43.602
07 Balears, Illes;Residentes en España;Julio;47.360
07 Balears, Illes;Residentes en España;Agosto;42.906
07 Balears, Illes;Residentes en España;Septiembre;36.490
07 Balears, Illes;Residentes en España;Octubre;13.557
07 Balears, Illes;Residentes en España;Noviembre;1.463
07 Balears, Illes;Residentes en España;Diciembre;1.147
07 Balears, Illes;No residentes en España;Enero;1.748
07 Balears, Illes;No residentes en España;Febrero;4.284
07 Balears, Illes;No residentes en España;Marzo;9.626
07 Balears, Illes;No residentes en España;Abril;46.722
07 Balears, Illes;No residentes en España;Mayo;174.186
07 Balears, Illes;No residentes en España;Junio;213.250
07 Balears, Illes;No residentes en España;Julio;248.515
07 Balears, Illes;No residentes en España;Agosto;239.271
07 Balears, Illes;No residentes en España;Septiembre;211.203
07 Balears, Illes;No residentes en España;Octubre;99.562
07 Balears, Illes;No residentes en España;Noviembre;4.042
07 Balears, Illes;No residentes en España;Diciembre;3.750
07 Balears, Illes;Unión Europea (sin España);Enero;1.422
07 Balears, Illes;Unión Europea (sin España);Febrero;3.660
07 Balears, Illes;Unión Europea (sin España);Marzo;7.934
07 Balears, Illes;Unión Europea (sin España);Abril;43.561
