Provincias;País de residencia;Meses;Total
Balears, Illes;Grecia;Junio;71
Balears, Illes;Grecia;Julio;156
Balears, Illes;Grecia;Agosto;164
Balears, Illes;Grecia;Septiembre;59
Balears, Illes;Grecia;Octubre;49
Balears, Illes;Grecia;Noviembre;..
Balears, Illes;Grecia;Diciembre;..
Balears, Illes;Irlanda;Enero;..
Balears, Illes;Irlanda;Febrero;..
Balears, Illes;Irlanda;Marzo;128
Balears, Illes;Irlanda;Abril;1.737
Balears, Illes;Irlanda;Mayo;8.370
Balears, Illes;Irlanda;Junio;7.044
Balears, Illes;Irlanda;Julio;8.751
Balears, Illes;Irlanda;Agosto;6.161
Balears, Illes;Irlanda;Septiembre;6.562
Balears, Illes;Irlanda;Octubre;2.638
Balears, Illes;Irlanda;Noviembre;54
Balears, Illes;Irlanda;Diciembre;..
Balears, Illes;Italia;Enero;16
Balears, Illes;Italia;Febrero;30
Balears, Illes;Italia;Marzo;186
Balears, Illes;Italia;Abril;298
Balears, Illes;Italia;Mayo;8.643
Balears, Illes;Italia;Junio;18.794
Balears, Illes;Italia;Julio;22.665
Balears, Illes;Italia;Agosto;28.765
Balears, Illes;Italia;Septiembre;15.404
Balears, Illes;Italia;Octubre;2.333
Balears, Illes;Italia;Noviembre;86
Balears, Illes;Italia;Diciembre;45
Balears, Illes;Luxemburgo;Enero;..
Balears, Illes;Luxemburgo;Febrero;..
Balears, Illes;Luxemburgo;Marzo;12
Balears, Illes;Luxemburgo;Abril;66
Balears, Illes;Luxemburgo;Mayo;356
Balears, Illes;Luxemburgo;Junio;132
Balears, Illes;Luxemburgo;Julio;363
Balears, Illes;Luxemburgo;Agosto;618
Balears, Illes;Luxemburgo;Septiembre;243
Balears, Illes;Luxemburgo;Octubre;124
Balears, Illes;Luxemburgo;Noviembre;..
Balears, Illes;Luxemburgo;Diciembre;..
Balears, Illes;Países Bajos;Enero;14
Balears, Illes;Países Bajos;Febrero;48
Balears, Illes;Países Bajos;Marzo;329
Balears, Illes;Países Bajos;Abril;1.269
Balears, Illes;Países Bajos;Mayo;10.361
Balears, Illes;Países Bajos;Junio;11.070
Balears, Illes;Países Bajos;Julio;15.223
Balears, Illes;Países Bajos;Agosto;16.663
Balears, Illes;Países Bajos;Septiembre;12.991
Balears, Illes;Países Bajos;Octubre;8.934
