Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;2.342
07 Balears, Illes;Total;Febrero;4.757
07 Balears, Illes;Total;Marzo;9.465
07 Balears, Illes;Total;Abril;43.202
07 Balears, Illes;Total;Mayo;172.798
07 Balears, Illes;Total;Junio;248.125
07 Balears, Illes;Total;Julio;293.159
07 Balears, Illes;Total;Agosto;321.245
07 Balears, Illes;Total;Septiembre;235.135
07 Balears, Illes;Total;Octubre;107.779
07 Balears, Illes;Total;Noviembre;6.453
07 Balears, Illes;Total;Diciembre;6.254
07 Balears, Illes;Residentes en España;Enero;802
07 Balears, Illes;Residentes en España;Febrero;822
07 Balears, Illes;Residentes en España;Marzo;2.337
07 Balears, Illes;Residentes en España;Abril;6.332
07 Balears, Illes;Residentes en España;Mayo;25.007
07 Balears, Illes;Residentes en España;Junio;46.318
07 Balears, Illes;Residentes en España;Julio;45.527
07 Balears, Illes;Residentes en España;Agosto;52.955
07 Balears, Illes;Residentes en España;Septiembre;38.195
07 Balears, Illes;Residentes en España;Octubre;15.026
07 Balears, Illes;Residentes en España;Noviembre;1.822
07 Balears, Illes;Residentes en España;Diciembre;1.960
07 Balears, Illes;No residentes en España;Enero;1.541
07 Balears, Illes;No residentes en España;Febrero;3.936
07 Balears, Illes;No residentes en España;Marzo;7.128
07 Balears, Illes;No residentes en España;Abril;36.870
07 Balears, Illes;No residentes en España;Mayo;147.791
07 Balears, Illes;No residentes en España;Junio;201.808
07 Balears, Illes;No residentes en España;Julio;247.631
07 Balears, Illes;No residentes en España;Agosto;268.290
07 Balears, Illes;No residentes en España;Septiembre;196.939
07 Balears, Illes;No residentes en España;Octubre;92.753
07 Balears, Illes;No residentes en España;Noviembre;4.632
07 Balears, Illes;No residentes en España;Diciembre;4.294
07 Balears, Illes;Unión Europea (sin España);Enero;1.179
07 Balears, Illes;Unión Europea (sin España);Febrero;3.309
07 Balears, Illes;Unión Europea (sin España);Marzo;5.809
07 Balears, Illes;Unión Europea (sin España);Abril;33.738
07 Balears, Illes;Unión Europea (sin España);Mayo;135.954
07 Balears, Illes;Unión Europea (sin España);Junio;184.000
07 Balears, Illes;Unión Europea (sin España);Julio;220.230
07 Balears, Illes;Unión Europea (sin España);Agosto;245.398
07 Balears, Illes;Unión Europea (sin España);Septiembre;179.107
07 Balears, Illes;Unión Europea (sin España);Octubre;84.719
07 Balears, Illes;Unión Europea (sin España);Noviembre;3.732
07 Balears, Illes;Unión Europea (sin España);Diciembre;3.217
07 Balears, Illes;Alemania;Enero;558
07 Balears, Illes;Alemania;Febrero;1.786
07 Balears, Illes;Alemania;Marzo;2.850
07 Balears, Illes;Alemania;Abril;8.656
07 Balears, Illes;Alemania;Mayo;16.982
07 Balears, Illes;Alemania;Junio;24.153
07 Balears, Illes;Alemania;Julio;24.850
07 Balears, Illes;Alemania;Agosto;23.337
07 Balears, Illes;Alemania;Septiembre;22.674
07 Balears, Illes;Alemania;Octubre;12.368
07 Balears, Illes;Alemania;Noviembre;1.952
07 Balears, Illes;Alemania;Diciembre;1.560
07 Balears, Illes;Austria;Enero;59
07 Balears, Illes;Austria;Febrero;49
07 Balears, Illes;Austria;Marzo;152
07 Balears, Illes;Austria;Abril;434
07 Balears, Illes;Austria;Mayo;782
07 Balears, Illes;Austria;Junio;1.214
07 Balears, Illes;Austria;Julio;1.517
07 Balears, Illes;Austria;Agosto;1.309
07 Balears, Illes;Austria;Septiembre;1.340
07 Balears, Illes;Austria;Octubre;558
07 Balears, Illes;Austria;Noviembre;78
07 Balears, Illes;Austria;Diciembre;53
07 Balears, Illes;Bélgica;Enero;..
07 Balears, Illes;Bélgica;Febrero;..
07 Balears, Illes;Bélgica;Marzo;75
07 Balears, Illes;Bélgica;Abril;675
07 Balears, Illes;Bélgica;Mayo;1.469
07 Balears, Illes;Bélgica;Junio;1.485
07 Balears, Illes;Bélgica;Julio;2.067
07 Balears, Illes;Bélgica;Agosto;1.593
07 Balears, Illes;Bélgica;Septiembre;2.022
07 Balears, Illes;Bélgica;Octubre;692
07 Balears, Illes;Bélgica;Noviembre;40
07 Balears, Illes;Bélgica;Diciembre;37
07 Balears, Illes;Dinamarca;Enero;25
07 Balears, Illes;Dinamarca;Febrero;36
07 Balears, Illes;Dinamarca;Marzo;213
07 Balears, Illes;Dinamarca;Abril;1.003
07 Balears, Illes;Dinamarca;Mayo;2.895
07 Balears, Illes;Dinamarca;Junio;5.124
07 Balears, Illes;Dinamarca;Julio;7.673
07 Balears, Illes;Dinamarca;Agosto;5.622
07 Balears, Illes;Dinamarca;Septiembre;4.456
07 Balears, Illes;Dinamarca;Octubre;1.449
07 Balears, Illes;Dinamarca;Noviembre;60
07 Balears, Illes;Dinamarca;Diciembre;26
07 Balears, Illes;Finlandia;Enero;25
07 Balears, Illes;Finlandia;Febrero;77
07 Balears, Illes;Finlandia;Marzo;74
07 Balears, Illes;Finlandia;Abril;332
07 Balears, Illes;Finlandia;Mayo;956
07 Balears, Illes;Finlandia;Junio;1.116
07 Balears, Illes;Finlandia;Julio;1.494
07 Balears, Illes;Finlandia;Agosto;1.030
07 Balears, Illes;Finlandia;Septiembre;1.075
07 Balears, Illes;Finlandia;Octubre;420
07 Balears, Illes;Finlandia;Noviembre;104
07 Balears, Illes;Finlandia;Diciembre;61
07 Balears, Illes;Francia;Enero;39
07 Balears, Illes;Francia;Febrero;97
07 Balears, Illes;Francia;Marzo;200
07 Balears, Illes;Francia;Abril;2.366
07 Balears, Illes;Francia;Mayo;8.918
07 Balears, Illes;Francia;Junio;10.029
07 Balears, Illes;Francia;Julio;15.723
07 Balears, Illes;Francia;Agosto;18.581
07 Balears, Illes;Francia;Septiembre;9.546
07 Balears, Illes;Francia;Octubre;5.073
07 Balears, Illes;Francia;Noviembre;151
07 Balears, Illes;Francia;Diciembre;147
07 Balears, Illes;Grecia;Enero;..
07 Balears, Illes;Grecia;Febrero;..
07 Balears, Illes;Grecia;Marzo;..
07 Balears, Illes;Grecia;Abril;42
07 Balears, Illes;Grecia;Mayo;201
07 Balears, Illes;Grecia;Junio;88
07 Balears, Illes;Grecia;Julio;480
07 Balears, Illes;Grecia;Agosto;547
07 Balears, Illes;Grecia;Septiembre;189
07 Balears, Illes;Grecia;Octubre;53
07 Balears, Illes;Grecia;Noviembre;..
07 Balears, Illes;Grecia;Diciembre;..
07 Balears, Illes;Irlanda;Enero;10
07 Balears, Illes;Irlanda;Febrero;41
07 Balears, Illes;Irlanda;Marzo;27
07 Balears, Illes;Irlanda;Abril;1.468
07 Balears, Illes;Irlanda;Mayo;7.591
07 Balears, Illes;Irlanda;Junio;9.301
07 Balears, Illes;Irlanda;Julio;9.177
07 Balears, Illes;Irlanda;Agosto;9.169
07 Balears, Illes;Irlanda;Septiembre;7.588
07 Balears, Illes;Irlanda;Octubre;4.000
07 Balears, Illes;Irlanda;Noviembre;24
07 Balears, Illes;Irlanda;Diciembre;19
07 Balears, Illes;Italia;Enero;63
07 Balears, Illes;Italia;Febrero;89
07 Balears, Illes;Italia;Marzo;160
07 Balears, Illes;Italia;Abril;1.631
07 Balears, Illes;Italia;Mayo;9.095
07 Balears, Illes;Italia;Junio;17.152
07 Balears, Illes;Italia;Julio;29.376
07 Balears, Illes;Italia;Agosto;34.021
07 Balears, Illes;Italia;Septiembre;19.256
07 Balears, Illes;Italia;Octubre;5.785
07 Balears, Illes;Italia;Noviembre;96
07 Balears, Illes;Italia;Diciembre;157
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;16
07 Balears, Illes;Luxemburgo;Marzo;..
07 Balears, Illes;Luxemburgo;Abril;18
07 Balears, Illes;Luxemburgo;Mayo;161
07 Balears, Illes;Luxemburgo;Junio;579
07 Balears, Illes;Luxemburgo;Julio;142
07 Balears, Illes;Luxemburgo;Agosto;275
07 Balears, Illes;Luxemburgo;Septiembre;193
07 Balears, Illes;Luxemburgo;Octubre;51
07 Balears, Illes;Luxemburgo;Noviembre;..
07 Balears, Illes;Luxemburgo;Diciembre;..
07 Balears, Illes;Países Bajos;Enero;10
07 Balears, Illes;Países Bajos;Febrero;104
07 Balears, Illes;Países Bajos;Marzo;393
07 Balears, Illes;Países Bajos;Abril;1.870
07 Balears, Illes;Países Bajos;Mayo;15.216
07 Balears, Illes;Países Bajos;Junio;14.957
07 Balears, Illes;Países Bajos;Julio;13.587
07 Balears, Illes;Países Bajos;Agosto;16.379
07 Balears, Illes;Países Bajos;Septiembre;12.811
07 Balears, Illes;Países Bajos;Octubre;7.455
07 Balears, Illes;Países Bajos;Noviembre;133
07 Balears, Illes;Países Bajos;Diciembre;108
07 Balears, Illes;Polonia;Enero;90
07 Balears, Illes;Polonia;Febrero;80
07 Balears, Illes;Polonia;Marzo;155
07 Balears, Illes;Polonia;Abril;944
07 Balears, Illes;Polonia;Mayo;1.993
07 Balears, Illes;Polonia;Junio;3.254
07 Balears, Illes;Polonia;Julio;3.503
07 Balears, Illes;Polonia;Agosto;4.216
07 Balears, Illes;Polonia;Septiembre;4.078
07 Balears, Illes;Polonia;Octubre;1.830
07 Balears, Illes;Polonia;Noviembre;90
07 Balears, Illes;Polonia;Diciembre;54
07 Balears, Illes;Portugal;Enero;57
07 Balears, Illes;Portugal;Febrero;32
07 Balears, Illes;Portugal;Marzo;59
07 Balears, Illes;Portugal;Abril;159
07 Balears, Illes;Portugal;Mayo;556
07 Balears, Illes;Portugal;Junio;1.866
07 Balears, Illes;Portugal;Julio;1.890
07 Balears, Illes;Portugal;Agosto;2.355
07 Balears, Illes;Portugal;Septiembre;2.710
07 Balears, Illes;Portugal;Octubre;340
07 Balears, Illes;Portugal;Noviembre;..
07 Balears, Illes;Portugal;Diciembre;..
07 Balears, Illes;Reino Unido;Enero;170
07 Balears, Illes;Reino Unido;Febrero;724
07 Balears, Illes;Reino Unido;Marzo;1.096
07 Balears, Illes;Reino Unido;Abril;12.592
07 Balears, Illes;Reino Unido;Mayo;60.722
07 Balears, Illes;Reino Unido;Junio;81.774
07 Balears, Illes;Reino Unido;Julio;95.701
07 Balears, Illes;Reino Unido;Agosto;112.775
07 Balears, Illes;Reino Unido;Septiembre;78.610
07 Balears, Illes;Reino Unido;Octubre;38.899
07 Balears, Illes;Reino Unido;Noviembre;860
07 Balears, Illes;Reino Unido;Diciembre;818
07 Balears, Illes;Republica Checa;Enero;36
07 Balears, Illes;Republica Checa;Febrero;..
07 Balears, Illes;Republica Checa;Marzo;108
07 Balears, Illes;Republica Checa;Abril;206
07 Balears, Illes;Republica Checa;Mayo;516
07 Balears, Illes;Republica Checa;Junio;1.159
07 Balears, Illes;Republica Checa;Julio;1.099
07 Balears, Illes;Republica Checa;Agosto;1.032
07 Balears, Illes;Republica Checa;Septiembre;1.177
07 Balears, Illes;Republica Checa;Octubre;505
07 Balears, Illes;Republica Checa;Noviembre;..
