Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;9.378
07 Balears, Illes;Total;Febrero;10.428
07 Balears, Illes;Total;Marzo;20.522
07 Balears, Illes;Total;Abril;28.106
07 Balears, Illes;Total;Mayo;100.507
07 Balears, Illes;Total;Junio;346.508
07 Balears, Illes;Total;Julio;888.890
07 Balears, Illes;Total;Agosto;1.111.270
07 Balears, Illes;Total;Septiembre;786.918
07 Balears, Illes;Total;Octubre;464.511
07 Balears, Illes;Total;Noviembre;28.869
07 Balears, Illes;Total;Diciembre;28.425
07 Balears, Illes;Españoles;Enero;5.001
07 Balears, Illes;Españoles;Febrero;6.188
07 Balears, Illes;Españoles;Marzo;10.163
07 Balears, Illes;Españoles;Abril;7.340
07 Balears, Illes;Españoles;Mayo;29.231
07 Balears, Illes;Españoles;Junio;151.958
07 Balears, Illes;Españoles;Julio;308.419
07 Balears, Illes;Españoles;Agosto;438.213
07 Balears, Illes;Españoles;Septiembre;225.230
07 Balears, Illes;Españoles;Octubre;89.863
07 Balears, Illes;Españoles;Noviembre;4.256
07 Balears, Illes;Españoles;Diciembre;9.848
07 Balears, Illes;Extranjeros;Enero;4.377
07 Balears, Illes;Extranjeros;Febrero;4.240
07 Balears, Illes;Extranjeros;Marzo;10.359
07 Balears, Illes;Extranjeros;Abril;20.765
07 Balears, Illes;Extranjeros;Mayo;71.276
07 Balears, Illes;Extranjeros;Junio;194.550
07 Balears, Illes;Extranjeros;Julio;580.472
07 Balears, Illes;Extranjeros;Agosto;673.056
07 Balears, Illes;Extranjeros;Septiembre;561.689
07 Balears, Illes;Extranjeros;Octubre;374.648
07 Balears, Illes;Extranjeros;Noviembre;24.614
07 Balears, Illes;Extranjeros;Diciembre;18.577
07 Balears, Illes;Unión Europea27 (sin España);Enero;3.040
07 Balears, Illes;Unión Europea27 (sin España);Febrero;2.946
07 Balears, Illes;Unión Europea27 (sin España);Marzo;8.281
07 Balears, Illes;Unión Europea27 (sin España);Abril;14.842
07 Balears, Illes;Unión Europea27 (sin España);Mayo;56.824
07 Balears, Illes;Unión Europea27 (sin España);Junio;165.489
07 Balears, Illes;Unión Europea27 (sin España);Julio;377.203
07 Balears, Illes;Unión Europea27 (sin España);Agosto;441.442
07 Balears, Illes;Unión Europea27 (sin España);Septiembre;368.209
07 Balears, Illes;Unión Europea27 (sin España);Octubre;259.227
07 Balears, Illes;Unión Europea27 (sin España);Noviembre;16.746
07 Balears, Illes;Unión Europea27 (sin España);Diciembre;10.944
07 Balears, Illes;Alemania;Enero;1.722
07 Balears, Illes;Alemania;Febrero;1.748
07 Balears, Illes;Alemania;Marzo;5.799
07 Balears, Illes;Alemania;Abril;9.763
07 Balears, Illes;Alemania;Mayo;26.331
07 Balears, Illes;Alemania;Junio;51.824
07 Balears, Illes;Alemania;Julio;92.391
07 Balears, Illes;Alemania;Agosto;75.753
07 Balears, Illes;Alemania;Septiembre;108.353
07 Balears, Illes;Alemania;Octubre;99.772
07 Balears, Illes;Alemania;Noviembre;11.545
07 Balears, Illes;Alemania;Diciembre;7.684
07 Balears, Illes;Austria;Enero;..
07 Balears, Illes;Austria;Febrero;..
07 Balears, Illes;Austria;Marzo;205
07 Balears, Illes;Austria;Abril;..
07 Balears, Illes;Austria;Mayo;381
07 Balears, Illes;Austria;Junio;1.351
07 Balears, Illes;Austria;Julio;5.746
07 Balears, Illes;Austria;Agosto;5.667
07 Balears, Illes;Austria;Septiembre;4.976
07 Balears, Illes;Austria;Octubre;4.683
07 Balears, Illes;Austria;Noviembre;401
07 Balears, Illes;Austria;Diciembre;295
07 Balears, Illes;Bélgica;Enero;..
07 Balears, Illes;Bélgica;Febrero;..
07 Balears, Illes;Bélgica;Marzo;39
07 Balears, Illes;Bélgica;Abril;..
07 Balears, Illes;Bélgica;Mayo;2.149
07 Balears, Illes;Bélgica;Junio;5.350
07 Balears, Illes;Bélgica;Julio;8.780
07 Balears, Illes;Bélgica;Agosto;11.267
07 Balears, Illes;Bélgica;Septiembre;15.253
07 Balears, Illes;Bélgica;Octubre;6.222
07 Balears, Illes;Bélgica;Noviembre;565
07 Balears, Illes;Bélgica;Diciembre;200
07 Balears, Illes;Dinamarca;Enero;..
07 Balears, Illes;Dinamarca;Febrero;..
07 Balears, Illes;Dinamarca;Marzo;..
07 Balears, Illes;Dinamarca;Abril;..
07 Balears, Illes;Dinamarca;Mayo;311
07 Balears, Illes;Dinamarca;Junio;6.061
07 Balears, Illes;Dinamarca;Julio;38.117
07 Balears, Illes;Dinamarca;Agosto;18.341
07 Balears, Illes;Dinamarca;Septiembre;18.794
07 Balears, Illes;Dinamarca;Octubre;14.781
07 Balears, Illes;Dinamarca;Noviembre;176
07 Balears, Illes;Dinamarca;Diciembre;..
07 Balears, Illes;Finlandia;Enero;..
07 Balears, Illes;Finlandia;Febrero;..
07 Balears, Illes;Finlandia;Marzo;..
07 Balears, Illes;Finlandia;Abril;..
07 Balears, Illes;Finlandia;Mayo;..
07 Balears, Illes;Finlandia;Junio;507
07 Balears, Illes;Finlandia;Julio;219
07 Balears, Illes;Finlandia;Agosto;1.295
07 Balears, Illes;Finlandia;Septiembre;1.175
07 Balears, Illes;Finlandia;Octubre;1.375
07 Balears, Illes;Finlandia;Noviembre;116
07 Balears, Illes;Finlandia;Diciembre;..
07 Balears, Illes;Francia;Enero;376
07 Balears, Illes;Francia;Febrero;320
07 Balears, Illes;Francia;Marzo;306
07 Balears, Illes;Francia;Abril;1.624
07 Balears, Illes;Francia;Mayo;9.344
07 Balears, Illes;Francia;Junio;22.455
07 Balears, Illes;Francia;Julio;60.747
07 Balears, Illes;Francia;Agosto;100.813
07 Balears, Illes;Francia;Septiembre;51.833
07 Balears, Illes;Francia;Octubre;30.307
07 Balears, Illes;Francia;Noviembre;1.100
07 Balears, Illes;Francia;Diciembre;826
07 Balears, Illes;Grecia;Enero;..
07 Balears, Illes;Grecia;Febrero;..
07 Balears, Illes;Grecia;Marzo;..
07 Balears, Illes;Grecia;Abril;..
07 Balears, Illes;Grecia;Mayo;..
07 Balears, Illes;Grecia;Junio;118
07 Balears, Illes;Grecia;Julio;232
07 Balears, Illes;Grecia;Agosto;844
07 Balears, Illes;Grecia;Septiembre;564
07 Balears, Illes;Grecia;Octubre;686
07 Balears, Illes;Grecia;Noviembre;..
07 Balears, Illes;Grecia;Diciembre;..
07 Balears, Illes;Irlanda;Enero;..
07 Balears, Illes;Irlanda;Febrero;..
07 Balears, Illes;Irlanda;Marzo;..
07 Balears, Illes;Irlanda;Abril;..
07 Balears, Illes;Irlanda;Mayo;66
07 Balears, Illes;Irlanda;Junio;714
07 Balears, Illes;Irlanda;Julio;9.416
07 Balears, Illes;Irlanda;Agosto;17.554
07 Balears, Illes;Irlanda;Septiembre;16.434
07 Balears, Illes;Irlanda;Octubre;9.597
07 Balears, Illes;Irlanda;Noviembre;152
07 Balears, Illes;Irlanda;Diciembre;86
07 Balears, Illes;Italia;Enero;229
07 Balears, Illes;Italia;Febrero;168
07 Balears, Illes;Italia;Marzo;393
07 Balears, Illes;Italia;Abril;592
07 Balears, Illes;Italia;Mayo;3.214
07 Balears, Illes;Italia;Junio;19.787
07 Balears, Illes;Italia;Julio;42.862
07 Balears, Illes;Italia;Agosto;84.462
07 Balears, Illes;Italia;Septiembre;38.885
07 Balears, Illes;Italia;Octubre;12.679
07 Balears, Illes;Italia;Noviembre;622
07 Balears, Illes;Italia;Diciembre;668
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;..
07 Balears, Illes;Luxemburgo;Marzo;..
07 Balears, Illes;Luxemburgo;Abril;..
07 Balears, Illes;Luxemburgo;Mayo;251
07 Balears, Illes;Luxemburgo;Junio;200
07 Balears, Illes;Luxemburgo;Julio;411
07 Balears, Illes;Luxemburgo;Agosto;1.012
07 Balears, Illes;Luxemburgo;Septiembre;799
07 Balears, Illes;Luxemburgo;Octubre;317
07 Balears, Illes;Luxemburgo;Noviembre;..
07 Balears, Illes;Luxemburgo;Diciembre;60
07 Balears, Illes;Países Bajos;Enero;..
07 Balears, Illes;Países Bajos;Febrero;..
07 Balears, Illes;Países Bajos;Marzo;168
07 Balears, Illes;Países Bajos;Abril;588
07 Balears, Illes;Países Bajos;Mayo;9.199
07 Balears, Illes;Países Bajos;Junio;40.933
07 Balears, Illes;Países Bajos;Julio;58.449
07 Balears, Illes;Países Bajos;Agosto;65.876
07 Balears, Illes;Países Bajos;Septiembre;59.052
07 Balears, Illes;Países Bajos;Octubre;55.861
07 Balears, Illes;Países Bajos;Noviembre;645
07 Balears, Illes;Países Bajos;Diciembre;403
07 Balears, Illes;Polonia;Enero;..
07 Balears, Illes;Polonia;Febrero;..
07 Balears, Illes;Polonia;Marzo;66
07 Balears, Illes;Polonia;Abril;119
07 Balears, Illes;Polonia;Mayo;730
07 Balears, Illes;Polonia;Junio;3.404
07 Balears, Illes;Polonia;Julio;14.305
07 Balears, Illes;Polonia;Agosto;16.098
07 Balears, Illes;Polonia;Septiembre;10.925
07 Balears, Illes;Polonia;Octubre;4.461
07 Balears, Illes;Polonia;Noviembre;319
07 Balears, Illes;Polonia;Diciembre;141
07 Balears, Illes;Portugal;Enero;..
07 Balears, Illes;Portugal;Febrero;..
07 Balears, Illes;Portugal;Marzo;134
07 Balears, Illes;Portugal;Abril;168
07 Balears, Illes;Portugal;Mayo;623
07 Balears, Illes;Portugal;Junio;2.067
07 Balears, Illes;Portugal;Julio;4.253
07 Balears, Illes;Portugal;Agosto;7.175
07 Balears, Illes;Portugal;Septiembre;9.849
07 Balears, Illes;Portugal;Octubre;1.435
07 Balears, Illes;Portugal;Noviembre;71
07 Balears, Illes;Portugal;Diciembre;..
07 Balears, Illes;Republica Checa;Enero;..
07 Balears, Illes;Republica Checa;Febrero;..
07 Balears, Illes;Republica Checa;Marzo;235
07 Balears, Illes;Republica Checa;Abril;258
07 Balears, Illes;Republica Checa;Mayo;1.554
07 Balears, Illes;Republica Checa;Junio;2.050
07 Balears, Illes;Republica Checa;Julio;4.316
07 Balears, Illes;Republica Checa;Agosto;6.533
07 Balears, Illes;Republica Checa;Septiembre;4.601
07 Balears, Illes;Republica Checa;Octubre;3.873
07 Balears, Illes;Republica Checa;Noviembre;180
07 Balears, Illes;Republica Checa;Diciembre;78
07 Balears, Illes;Suecia;Enero;240
07 Balears, Illes;Suecia;Febrero;..
07 Balears, Illes;Suecia;Marzo;411
07 Balears, Illes;Suecia;Abril;800
07 Balears, Illes;Suecia;Mayo;1.213
07 Balears, Illes;Suecia;Junio;3.595
07 Balears, Illes;Suecia;Julio;22.430
07 Balears, Illes;Suecia;Agosto;18.493
07 Balears, Illes;Suecia;Septiembre;14.168
07 Balears, Illes;Suecia;Octubre;7.759
07 Balears, Illes;Suecia;Noviembre;674
07 Balears, Illes;Suecia;Diciembre;295
07 Balears, Illes;Resto de la UE;Enero;306
07 Balears, Illes;Resto de la UE;Febrero;..
07 Balears, Illes;Resto de la UE;Marzo;339
07 Balears, Illes;Resto de la UE;Abril;742
07 Balears, Illes;Resto de la UE;Mayo;1.451
07 Balears, Illes;Resto de la UE;Junio;5.071
07 Balears, Illes;Resto de la UE;Julio;14.525
07 Balears, Illes;Resto de la UE;Agosto;10.260
07 Balears, Illes;Resto de la UE;Septiembre;12.549
07 Balears, Illes;Resto de la UE;Octubre;5.420
07 Balears, Illes;Resto de la UE;Noviembre;178
07 Balears, Illes;Resto de la UE;Diciembre;114
07 Balears, Illes;Noruega;Enero;..
07 Balears, Illes;Noruega;Febrero;..
07 Balears, Illes;Noruega;Marzo;..
07 Balears, Illes;Noruega;Abril;..
07 Balears, Illes;Noruega;Mayo;331
07 Balears, Illes;Noruega;Junio;467
07 Balears, Illes;Noruega;Julio;3.079
07 Balears, Illes;Noruega;Agosto;584
07 Balears, Illes;Noruega;Septiembre;1.585
07 Balears, Illes;Noruega;Octubre;3.609
07 Balears, Illes;Noruega;Noviembre;856
07 Balears, Illes;Noruega;Diciembre;95
07 Balears, Illes;Reino Unido;Enero;289
07 Balears, Illes;Reino Unido;Febrero;188
07 Balears, Illes;Reino Unido;Marzo;270
07 Balears, Illes;Reino Unido;Abril;695
07 Balears, Illes;Reino Unido;Mayo;3.815
07 Balears, Illes;Reino Unido;Junio;13.237
07 Balears, Illes;Reino Unido;Julio;156.038
07 Balears, Illes;Reino Unido;Agosto;189.898
07 Balears, Illes;Reino Unido;Septiembre;156.482
07 Balears, Illes;Reino Unido;Octubre;87.269
07 Balears, Illes;Reino Unido;Noviembre;3.436
07 Balears, Illes;Reino Unido;Diciembre;1.874
07 Balears, Illes;Rusia;Enero;..
07 Balears, Illes;Rusia;Febrero;..
07 Balears, Illes;Rusia;Marzo;105
07 Balears, Illes;Rusia;Abril;247
07 Balears, Illes;Rusia;Mayo;512
07 Balears, Illes;Rusia;Junio;347
07 Balears, Illes;Rusia;Julio;728
07 Balears, Illes;Rusia;Agosto;1.027
07 Balears, Illes;Rusia;Septiembre;701
07 Balears, Illes;Rusia;Octubre;1.007
07 Balears, Illes;Rusia;Noviembre;..
07 Balears, Illes;Rusia;Diciembre;..
07 Balears, Illes;Suiza;Enero;..
07 Balears, Illes;Suiza;Febrero;54
07 Balears, Illes;Suiza;Marzo;127
07 Balears, Illes;Suiza;Abril;1.268
07 Balears, Illes;Suiza;Mayo;3.705
07 Balears, Illes;Suiza;Junio;5.590
07 Balears, Illes;Suiza;Julio;14.486
07 Balears, Illes;Suiza;Agosto;12.223
07 Balears, Illes;Suiza;Septiembre;11.686
07 Balears, Illes;Suiza;Octubre;9.806
07 Balears, Illes;Suiza;Noviembre;776
