Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;25.933
Balears, Illes;Total;Febrero;30.280
Balears, Illes;Total;Marzo;46.156
Balears, Illes;Total;Abril;226.542
Balears, Illes;Total;Mayo;888.610
Balears, Illes;Total;Junio;1.611.374
Balears, Illes;Total;Julio;2.147.652
Balears, Illes;Total;Agosto;2.187.065
Balears, Illes;Total;Septiembre;1.609.907
Balears, Illes;Total;Octubre;738.757
Balears, Illes;Total;Noviembre;34.633
Balears, Illes;Total;Diciembre;31.082
Balears, Illes;Residentes en España;Enero;5.125
Balears, Illes;Residentes en España;Febrero;7.520
Balears, Illes;Residentes en España;Marzo;6.915
Balears, Illes;Residentes en España;Abril;26.217
Balears, Illes;Residentes en España;Mayo;65.038
Balears, Illes;Residentes en España;Junio;172.178
Balears, Illes;Residentes en España;Julio;215.590
Balears, Illes;Residentes en España;Agosto;238.107
Balears, Illes;Residentes en España;Septiembre;178.818
Balears, Illes;Residentes en España;Octubre;46.366
Balears, Illes;Residentes en España;Noviembre;4.902
Balears, Illes;Residentes en España;Diciembre;3.474
Balears, Illes;No residentes en España;Enero;20.808
Balears, Illes;No residentes en España;Febrero;22.760
Balears, Illes;No residentes en España;Marzo;39.242
Balears, Illes;No residentes en España;Abril;200.325
Balears, Illes;No residentes en España;Mayo;823.572
Balears, Illes;No residentes en España;Junio;1.439.195
Balears, Illes;No residentes en España;Julio;1.932.061
Balears, Illes;No residentes en España;Agosto;1.948.957
Balears, Illes;No residentes en España;Septiembre;1.431.089
Balears, Illes;No residentes en España;Octubre;692.392
Balears, Illes;No residentes en España;Noviembre;29.732
Balears, Illes;No residentes en España;Diciembre;27.609
Balears, Illes;Unión Europea (sin España);Enero;18.146
Balears, Illes;Unión Europea (sin España);Febrero;19.650
Balears, Illes;Unión Europea (sin España);Marzo;35.610
Balears, Illes;Unión Europea (sin España);Abril;188.159
Balears, Illes;Unión Europea (sin España);Mayo;785.193
Balears, Illes;Unión Europea (sin España);Junio;1.367.848
Balears, Illes;Unión Europea (sin España);Julio;1.821.355
Balears, Illes;Unión Europea (sin España);Agosto;1.849.125
Balears, Illes;Unión Europea (sin España);Septiembre;1.362.429
Balears, Illes;Unión Europea (sin España);Octubre;666.677
Balears, Illes;Unión Europea (sin España);Noviembre;26.240
Balears, Illes;Unión Europea (sin España);Diciembre;24.807
Balears, Illes;Alemania;Enero;11.266
Balears, Illes;Alemania;Febrero;12.894
Balears, Illes;Alemania;Marzo;21.959
Balears, Illes;Alemania;Abril;95.039
Balears, Illes;Alemania;Mayo;251.823
Balears, Illes;Alemania;Junio;342.372
Balears, Illes;Alemania;Julio;444.631
Balears, Illes;Alemania;Agosto;436.929
Balears, Illes;Alemania;Septiembre;369.681
Balears, Illes;Alemania;Octubre;296.933
Balears, Illes;Alemania;Noviembre;15.047
Balears, Illes;Alemania;Diciembre;17.287
Balears, Illes;Austria;Enero;593
Balears, Illes;Austria;Febrero;370
Balears, Illes;Austria;Marzo;914
Balears, Illes;Austria;Abril;1.177
Balears, Illes;Austria;Mayo;1.831
Balears, Illes;Austria;Junio;6.523
Balears, Illes;Austria;Julio;8.343
Balears, Illes;Austria;Agosto;10.351
Balears, Illes;Austria;Septiembre;5.610
Balears, Illes;Austria;Octubre;2.678
Balears, Illes;Austria;Noviembre;450
Balears, Illes;Austria;Diciembre;394
Balears, Illes;Bélgica;Enero;184
Balears, Illes;Bélgica;Febrero;76
Balears, Illes;Bélgica;Marzo;108
Balears, Illes;Bélgica;Abril;1.386
Balears, Illes;Bélgica;Mayo;4.580
Balears, Illes;Bélgica;Junio;10.156
Balears, Illes;Bélgica;Julio;21.251
Balears, Illes;Bélgica;Agosto;21.219
Balears, Illes;Bélgica;Septiembre;11.237
Balears, Illes;Bélgica;Octubre;9.170
Balears, Illes;Bélgica;Noviembre;420
Balears, Illes;Bélgica;Diciembre;439
Balears, Illes;Dinamarca;Enero;..
