Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;28.250
Balears, Illes;Total;Febrero;40.117
Balears, Illes;Total;Marzo;62.156
Balears, Illes;Total;Abril;309.986
Balears, Illes;Total;Mayo;1.154.815
Balears, Illes;Total;Junio;1.707.532
Balears, Illes;Total;Julio;2.031.830
Balears, Illes;Total;Agosto;2.067.579
Balears, Illes;Total;Septiembre;1.638.026
Balears, Illes;Total;Octubre;891.680
Balears, Illes;Total;Noviembre;39.863
Balears, Illes;Total;Diciembre;27.766
Balears, Illes;Residentes en España;Enero;4.585
Balears, Illes;Residentes en España;Febrero;7.241
Balears, Illes;Residentes en España;Marzo;10.558
Balears, Illes;Residentes en España;Abril;32.717
Balears, Illes;Residentes en España;Mayo;86.628
Balears, Illes;Residentes en España;Junio;170.489
Balears, Illes;Residentes en España;Julio;198.404
Balears, Illes;Residentes en España;Agosto;205.050
Balears, Illes;Residentes en España;Septiembre;171.350
Balears, Illes;Residentes en España;Octubre;65.259
Balears, Illes;Residentes en España;Noviembre;5.312
Balears, Illes;Residentes en España;Diciembre;6.309
Balears, Illes;No residentes en España;Enero;23.665
Balears, Illes;No residentes en España;Febrero;32.876
Balears, Illes;No residentes en España;Marzo;51.599
Balears, Illes;No residentes en España;Abril;277.269
Balears, Illes;No residentes en España;Mayo;1.068.187
Balears, Illes;No residentes en España;Junio;1.537.043
Balears, Illes;No residentes en España;Julio;1.833.426
Balears, Illes;No residentes en España;Agosto;1.862.529
Balears, Illes;No residentes en España;Septiembre;1.466.676
Balears, Illes;No residentes en España;Octubre;826.421
Balears, Illes;No residentes en España;Noviembre;34.551
Balears, Illes;No residentes en España;Diciembre;21.457
Balears, Illes;Unión Europea (sin España);Enero;20.052
Balears, Illes;Unión Europea (sin España);Febrero;28.751
Balears, Illes;Unión Europea (sin España);Marzo;45.284
Balears, Illes;Unión Europea (sin España);Abril;262.712
Balears, Illes;Unión Europea (sin España);Mayo;1.009.206
Balears, Illes;Unión Europea (sin España);Junio;1.428.927
Balears, Illes;Unión Europea (sin España);Julio;1.674.275
