Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;2.594
07 Balears, Illes;Total;Febrero;4.643
07 Balears, Illes;Total;Marzo;1.116
07 Balears, Illes;Total;Abril;0
07 Balears, Illes;Total;Mayo;..
07 Balears, Illes;Total;Junio;5.499
07 Balears, Illes;Total;Julio;72.837
07 Balears, Illes;Total;Agosto;100.225
07 Balears, Illes;Total;Septiembre;43.004
07 Balears, Illes;Total;Octubre;7.480
07 Balears, Illes;Total;Noviembre;1.114
07 Balears, Illes;Total;Diciembre;1.962
07 Balears, Illes;Españoles;Enero;1.060
07 Balears, Illes;Españoles;Febrero;1.371
07 Balears, Illes;Españoles;Marzo;227
07 Balears, Illes;Españoles;Abril;0
07 Balears, Illes;Españoles;Mayo;..
07 Balears, Illes;Españoles;Junio;4.758
07 Balears, Illes;Españoles;Julio;29.708
07 Balears, Illes;Españoles;Agosto;59.987
07 Balears, Illes;Españoles;Septiembre;28.097
07 Balears, Illes;Españoles;Octubre;4.640
07 Balears, Illes;Españoles;Noviembre;610
07 Balears, Illes;Españoles;Diciembre;1.426
07 Balears, Illes;Extranjeros;Enero;1.534
07 Balears, Illes;Extranjeros;Febrero;3.273
07 Balears, Illes;Extranjeros;Marzo;888
07 Balears, Illes;Extranjeros;Abril;0
07 Balears, Illes;Extranjeros;Mayo;..
07 Balears, Illes;Extranjeros;Junio;741
07 Balears, Illes;Extranjeros;Julio;43.129
07 Balears, Illes;Extranjeros;Agosto;40.238
07 Balears, Illes;Extranjeros;Septiembre;14.908
07 Balears, Illes;Extranjeros;Octubre;2.840
07 Balears, Illes;Extranjeros;Noviembre;504
07 Balears, Illes;Extranjeros;Diciembre;535
07 Balears, Illes;Unión Europea27 (sin España);Enero;1.058
07 Balears, Illes;Unión Europea27 (sin España);Febrero;2.267
07 Balears, Illes;Unión Europea27 (sin España);Marzo;556
07 Balears, Illes;Unión Europea27 (sin España);Abril;0
07 Balears, Illes;Unión Europea27 (sin España);Mayo;..
07 Balears, Illes;Unión Europea27 (sin España);Junio;..
07 Balears, Illes;Unión Europea27 (sin España);Julio;26.099
07 Balears, Illes;Unión Europea27 (sin España);Agosto;27.984
07 Balears, Illes;Unión Europea27 (sin España);Septiembre;8.966
07 Balears, Illes;Unión Europea27 (sin España);Octubre;2.144
07 Balears, Illes;Unión Europea27 (sin España);Noviembre;350
07 Balears, Illes;Unión Europea27 (sin España);Diciembre;327
07 Balears, Illes;Alemania;Enero;557
07 Balears, Illes;Alemania;Febrero;1.718
07 Balears, Illes;Alemania;Marzo;328
07 Balears, Illes;Alemania;Abril;0
07 Balears, Illes;Alemania;Mayo;..
07 Balears, Illes;Alemania;Junio;..
07 Balears, Illes;Alemania;Julio;6.548
07 Balears, Illes;Alemania;Agosto;5.603
07 Balears, Illes;Alemania;Septiembre;1.170
07 Balears, Illes;Alemania;Octubre;388
07 Balears, Illes;Alemania;Noviembre;174
07 Balears, Illes;Alemania;Diciembre;139
07 Balears, Illes;Austria;Enero;68
07 Balears, Illes;Austria;Febrero;39
07 Balears, Illes;Austria;Marzo;..
07 Balears, Illes;Austria;Abril;0
07 Balears, Illes;Austria;Mayo;..
07 Balears, Illes;Austria;Junio;..
07 Balears, Illes;Austria;Julio;306
07 Balears, Illes;Austria;Agosto;101
07 Balears, Illes;Austria;Septiembre;39
07 Balears, Illes;Austria;Octubre;..
07 Balears, Illes;Austria;Noviembre;..
07 Balears, Illes;Austria;Diciembre;..
07 Balears, Illes;Bélgica;Enero;12
07 Balears, Illes;Bélgica;Febrero;22
07 Balears, Illes;Bélgica;Marzo;..
