Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;3.705
Balears, Illes;Total;Febrero;4.382
Balears, Illes;Total;Marzo;6.536
Balears, Illes;Total;Abril;36.181
Balears, Illes;Total;Mayo;145.473
Balears, Illes;Total;Junio;232.301
Balears, Illes;Total;Julio;286.441
Balears, Illes;Total;Agosto;281.185
Balears, Illes;Total;Septiembre;214.795
Balears, Illes;Total;Octubre;91.615
Balears, Illes;Total;Noviembre;5.403
Balears, Illes;Total;Diciembre;4.831
Balears, Illes;Residentes en España;Enero;1.323
Balears, Illes;Residentes en España;Febrero;1.938
Balears, Illes;Residentes en España;Marzo;1.820
Balears, Illes;Residentes en España;Abril;6.157
Balears, Illes;Residentes en España;Mayo;15.287
Balears, Illes;Residentes en España;Junio;33.968
Balears, Illes;Residentes en España;Julio;36.224
Balears, Illes;Residentes en España;Agosto;35.559
Balears, Illes;Residentes en España;Septiembre;28.215
Balears, Illes;Residentes en España;Octubre;9.280
Balears, Illes;Residentes en España;Noviembre;1.628
Balears, Illes;Residentes en España;Diciembre;1.058
Balears, Illes;No residentes en España;Enero;2.382
Balears, Illes;No residentes en España;Febrero;2.444
Balears, Illes;No residentes en España;Marzo;4.716
Balears, Illes;No residentes en España;Abril;30.024
Balears, Illes;No residentes en España;Mayo;130.186
Balears, Illes;No residentes en España;Junio;198.333
Balears, Illes;No residentes en España;Julio;250.217
Balears, Illes;No residentes en España;Agosto;245.626
Balears, Illes;No residentes en España;Septiembre;186.580
Balears, Illes;No residentes en España;Octubre;82.335
Balears, Illes;No residentes en España;Noviembre;3.775
Balears, Illes;No residentes en España;Diciembre;3.773
Balears, Illes;Unión Europea (sin España);Enero;1.950
Balears, Illes;Unión Europea (sin España);Febrero;2.022
Balears, Illes;Unión Europea (sin España);Marzo;4.135
Balears, Illes;Unión Europea (sin España);Abril;27.861
Balears, Illes;Unión Europea (sin España);Mayo;123.091
Balears, Illes;Unión Europea (sin España);Junio;186.507
Balears, Illes;Unión Europea (sin España);Julio;234.060
Balears, Illes;Unión Europea (sin España);Agosto;229.307
Balears, Illes;Unión Europea (sin España);Septiembre;176.069
Balears, Illes;Unión Europea (sin España);Octubre;78.530
Balears, Illes;Unión Europea (sin España);Noviembre;3.284
Balears, Illes;Unión Europea (sin España);Diciembre;3.112
Balears, Illes;Alemania;Enero;1.032
