Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;22.209
07 Balears, Illes;Total;Febrero;34.566
07 Balears, Illes;Total;Marzo;57.610
07 Balears, Illes;Total;Abril;251.176
07 Balears, Illes;Total;Mayo;965.395
07 Balears, Illes;Total;Junio;1.479.439
07 Balears, Illes;Total;Julio;1.777.706
07 Balears, Illes;Total;Agosto;1.914.869
07 Balears, Illes;Total;Septiembre;1.441.693
07 Balears, Illes;Total;Octubre;685.752
07 Balears, Illes;Total;Noviembre;37.509
07 Balears, Illes;Total;Diciembre;33.052
07 Balears, Illes;Residentes en España;Enero;4.611
07 Balears, Illes;Residentes en España;Febrero;5.336
07 Balears, Illes;Residentes en España;Marzo;7.340
07 Balears, Illes;Residentes en España;Abril;28.627
07 Balears, Illes;Residentes en España;Mayo;84.992
07 Balears, Illes;Residentes en España;Junio;196.710
07 Balears, Illes;Residentes en España;Julio;231.582
07 Balears, Illes;Residentes en España;Agosto;277.007
07 Balears, Illes;Residentes en España;Septiembre;175.824
07 Balears, Illes;Residentes en España;Octubre;59.435
07 Balears, Illes;Residentes en España;Noviembre;6.887
07 Balears, Illes;Residentes en España;Diciembre;7.554
07 Balears, Illes;No residentes en España;Enero;17.598
07 Balears, Illes;No residentes en España;Febrero;29.230
07 Balears, Illes;No residentes en España;Marzo;50.270
07 Balears, Illes;No residentes en España;Abril;222.549
07 Balears, Illes;No residentes en España;Mayo;880.404
07 Balears, Illes;No residentes en España;Junio;1.282.728
07 Balears, Illes;No residentes en España;Julio;1.546.124
07 Balears, Illes;No residentes en España;Agosto;1.637.862
07 Balears, Illes;No residentes en España;Septiembre;1.265.869
07 Balears, Illes;No residentes en España;Octubre;626.317
07 Balears, Illes;No residentes en España;Noviembre;30.622
07 Balears, Illes;No residentes en España;Diciembre;25.498
07 Balears, Illes;Unión Europea (sin España);Enero;14.412
07 Balears, Illes;Unión Europea (sin España);Febrero;25.103
07 Balears, Illes;Unión Europea (sin España);Marzo;44.816
07 Balears, Illes;Unión Europea (sin España);Abril;203.801
07 Balears, Illes;Unión Europea (sin España);Mayo;823.017
07 Balears, Illes;Unión Europea (sin España);Junio;1.189.706
07 Balears, Illes;Unión Europea (sin España);Julio;1.404.208
07 Balears, Illes;Unión Europea (sin España);Agosto;1.520.031
07 Balears, Illes;Unión Europea (sin España);Septiembre;1.174.588
07 Balears, Illes;Unión Europea (sin España);Octubre;584.803
07 Balears, Illes;Unión Europea (sin España);Noviembre;25.435
07 Balears, Illes;Unión Europea (sin España);Diciembre;19.814
07 Balears, Illes;Alemania;Enero;8.405
07 Balears, Illes;Alemania;Febrero;14.185
07 Balears, Illes;Alemania;Marzo;25.413
07 Balears, Illes;Alemania;Abril;59.209
07 Balears, Illes;Alemania;Mayo;119.861
07 Balears, Illes;Alemania;Junio;172.098
07 Balears, Illes;Alemania;Julio;185.223
07 Balears, Illes;Alemania;Agosto;164.465
07 Balears, Illes;Alemania;Septiembre;165.803
07 Balears, Illes;Alemania;Octubre;107.229
07 Balears, Illes;Alemania;Noviembre;14.018
07 Balears, Illes;Alemania;Diciembre;10.774
07 Balears, Illes;Austria;Enero;525
07 Balears, Illes;Austria;Febrero;339
07 Balears, Illes;Austria;Marzo;847
07 Balears, Illes;Austria;Abril;2.262
07 Balears, Illes;Austria;Mayo;3.412
07 Balears, Illes;Austria;Junio;5.684
07 Balears, Illes;Austria;Julio;7.224
07 Balears, Illes;Austria;Agosto;7.189
07 Balears, Illes;Austria;Septiembre;7.951
