Provincias;País de residencia;Meses;Total
07 Balears, Illes;Irlanda;Febrero;..
07 Balears, Illes;Irlanda;Marzo;..
07 Balears, Illes;Irlanda;Abril;..
07 Balears, Illes;Irlanda;Mayo;33
07 Balears, Illes;Irlanda;Junio;222
07 Balears, Illes;Irlanda;Julio;2.617
07 Balears, Illes;Irlanda;Agosto;3.259
07 Balears, Illes;Irlanda;Septiembre;2.851
07 Balears, Illes;Irlanda;Octubre;1.626
07 Balears, Illes;Irlanda;Noviembre;12
07 Balears, Illes;Irlanda;Diciembre;18
07 Balears, Illes;Italia;Enero;20
07 Balears, Illes;Italia;Febrero;12
07 Balears, Illes;Italia;Marzo;40
07 Balears, Illes;Italia;Abril;14
07 Balears, Illes;Italia;Mayo;813
07 Balears, Illes;Italia;Junio;4.074
07 Balears, Illes;Italia;Julio;8.646
07 Balears, Illes;Italia;Agosto;16.553
07 Balears, Illes;Italia;Septiembre;8.712
07 Balears, Illes;Italia;Octubre;2.894
07 Balears, Illes;Italia;Noviembre;75
07 Balears, Illes;Italia;Diciembre;105
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;..
07 Balears, Illes;Luxemburgo;Marzo;..
07 Balears, Illes;Luxemburgo;Abril;..
07 Balears, Illes;Luxemburgo;Mayo;38
07 Balears, Illes;Luxemburgo;Junio;48
07 Balears, Illes;Luxemburgo;Julio;76
07 Balears, Illes;Luxemburgo;Agosto;122
07 Balears, Illes;Luxemburgo;Septiembre;179
07 Balears, Illes;Luxemburgo;Octubre;87
07 Balears, Illes;Luxemburgo;Noviembre;..
07 Balears, Illes;Luxemburgo;Diciembre;24
07 Balears, Illes;Países Bajos;Enero;..
07 Balears, Illes;Países Bajos;Febrero;..
07 Balears, Illes;Países Bajos;Marzo;32
07 Balears, Illes;Países Bajos;Abril;104
07 Balears, Illes;Países Bajos;Mayo;2.028
07 Balears, Illes;Países Bajos;Junio;6.479
07 Balears, Illes;Países Bajos;Julio;9.389
07 Balears, Illes;Países Bajos;Agosto;9.380
07 Balears, Illes;Países Bajos;Septiembre;9.365
07 Balears, Illes;Países Bajos;Octubre;8.698
07 Balears, Illes;Países Bajos;Noviembre;101
07 Balears, Illes;Países Bajos;Diciembre;94
07 Balears, Illes;Polonia;Enero;..
07 Balears, Illes;Polonia;Febrero;..
07 Balears, Illes;Polonia;Marzo;12
07 Balears, Illes;Polonia;Abril;15
07 Balears, Illes;Polonia;Mayo;161
07 Balears, Illes;Polonia;Junio;836
07 Balears, Illes;Polonia;Julio;2.233
07 Balears, Illes;Polonia;Agosto;1.992
07 Balears, Illes;Polonia;Septiembre;1.858
07 Balears, Illes;Polonia;Octubre;806
07 Balears, Illes;Polonia;Noviembre;49
07 Balears, Illes;Polonia;Diciembre;34
07 Balears, Illes;Portugal;Enero;..
07 Balears, Illes;Portugal;Febrero;..
07 Balears, Illes;Portugal;Marzo;10
07 Balears, Illes;Portugal;Abril;17
07 Balears, Illes;Portugal;Mayo;177
07 Balears, Illes;Portugal;Junio;570
07 Balears, Illes;Portugal;Julio;995
07 Balears, Illes;Portugal;Agosto;1.472
07 Balears, Illes;Portugal;Septiembre;2.140
07 Balears, Illes;Portugal;Octubre;310
07 Balears, Illes;Portugal;Noviembre;15
07 Balears, Illes;Portugal;Diciembre;..
07 Balears, Illes;Republica Checa;Enero;..
07 Balears, Illes;Republica Checa;Febrero;..
07 Balears, Illes;Republica Checa;Marzo;31
07 Balears, Illes;Republica Checa;Abril;42
07 Balears, Illes;Republica Checa;Mayo;139
07 Balears, Illes;Republica Checa;Junio;387
07 Balears, Illes;Republica Checa;Julio;802
