Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;3.887
Balears, Illes;Total;Febrero;6.126
Balears, Illes;Total;Marzo;9.537
Balears, Illes;Total;Abril;56.713
Balears, Illes;Total;Mayo;208.679
Balears, Illes;Total;Junio;284.296
Balears, Illes;Total;Julio;307.294
Balears, Illes;Total;Agosto;285.619
Balears, Illes;Total;Septiembre;259.458
Balears, Illes;Total;Octubre;128.637
Balears, Illes;Total;Noviembre;5.003
Balears, Illes;Total;Diciembre;4.308
Balears, Illes;Residentes en España;Enero;949
Balears, Illes;Residentes en España;Febrero;1.623
Balears, Illes;Residentes en España;Marzo;1.955
Balears, Illes;Residentes en España;Abril;8.584
Balears, Illes;Residentes en España;Mayo;24.436
Balears, Illes;Residentes en España;Junio;41.143
Balears, Illes;Residentes en España;Julio;38.140
Balears, Illes;Residentes en España;Agosto;37.679
Balears, Illes;Residentes en España;Septiembre;42.371
Balears, Illes;Residentes en España;Octubre;15.040
Balears, Illes;Residentes en España;Noviembre;1.068
Balears, Illes;Residentes en España;Diciembre;1.691
Balears, Illes;No residentes en España;Enero;2.938
Balears, Illes;No residentes en España;Febrero;4.503
Balears, Illes;No residentes en España;Marzo;7.582
Balears, Illes;No residentes en España;Abril;48.130
Balears, Illes;No residentes en España;Mayo;184.242
Balears, Illes;No residentes en España;Junio;243.153
Balears, Illes;No residentes en España;Julio;269.154
Balears, Illes;No residentes en España;Agosto;247.940
Balears, Illes;No residentes en España;Septiembre;217.087
Balears, Illes;No residentes en España;Octubre;113.596
Balears, Illes;No residentes en España;Noviembre;3.935
Balears, Illes;No residentes en España;Diciembre;2.617
Balears, Illes;Unión Europea (sin España);Enero;2.432
Balears, Illes;Unión Europea (sin España);Febrero;3.973
Balears, Illes;Unión Europea (sin España);Marzo;6.582
Balears, Illes;Unión Europea (sin España);Abril;44.997
Balears, Illes;Unión Europea (sin España);Mayo;172.907
Balears, Illes;Unión Europea (sin España);Junio;223.413
Balears, Illes;Unión Europea (sin España);Julio;244.082
Balears, Illes;Unión Europea (sin España);Agosto;222.953
Balears, Illes;Unión Europea (sin España);Septiembre;201.011
Balears, Illes;Unión Europea (sin España);Octubre;105.658
Balears, Illes;Unión Europea (sin España);Noviembre;3.335
Balears, Illes;Unión Europea (sin España);Diciembre;2.230
Balears, Illes;Alemania;Enero;1.165
Balears, Illes;Alemania;Febrero;2.579
Balears, Illes;Alemania;Marzo;3.124
Balears, Illes;Alemania;Abril;16.178
Balears, Illes;Alemania;Mayo;39.153
Balears, Illes;Alemania;Junio;42.348
Balears, Illes;Alemania;Julio;42.630
Balears, Illes;Alemania;Agosto;35.906
Balears, Illes;Alemania;Septiembre;37.280
Balears, Illes;Alemania;Octubre;29.811
Balears, Illes;Alemania;Noviembre;1.587
Balears, Illes;Alemania;Diciembre;931
Balears, Illes;Austria;Enero;78
Balears, Illes;Austria;Febrero;65
Balears, Illes;Austria;Marzo;100
Balears, Illes;Austria;Abril;340
Balears, Illes;Austria;Mayo;801
Balears, Illes;Austria;Junio;803
Balears, Illes;Austria;Julio;1.491
Balears, Illes;Austria;Agosto;1.740
Balears, Illes;Austria;Septiembre;1.247
Balears, Illes;Austria;Octubre;509
Balears, Illes;Austria;Noviembre;103
Balears, Illes;Austria;Diciembre;24
Balears, Illes;Bélgica;Enero;53
Balears, Illes;Bélgica;Febrero;22
Balears, Illes;Bélgica;Marzo;53
Balears, Illes;Bélgica;Abril;487
Balears, Illes;Bélgica;Mayo;1.020
Balears, Illes;Bélgica;Junio;1.576
Balears, Illes;Bélgica;Julio;2.803
Balears, Illes;Bélgica;Agosto;1.658
Balears, Illes;Bélgica;Septiembre;1.922
Balears, Illes;Bélgica;Octubre;673
Balears, Illes;Bélgica;Noviembre;38
Balears, Illes;Bélgica;Diciembre;12
Balears, Illes;Dinamarca;Enero;12
Balears, Illes;Dinamarca;Febrero;106
Balears, Illes;Dinamarca;Marzo;137
Balears, Illes;Dinamarca;Abril;1.667
Balears, Illes;Dinamarca;Mayo;3.916
Balears, Illes;Dinamarca;Junio;4.640
Balears, Illes;Dinamarca;Julio;10.474
Balears, Illes;Dinamarca;Agosto;6.180
Balears, Illes;Dinamarca;Septiembre;6.051
Balears, Illes;Dinamarca;Octubre;2.353
Balears, Illes;Dinamarca;Noviembre;64
Balears, Illes;Dinamarca;Diciembre;62
Balears, Illes;Finlandia;Enero;86
Balears, Illes;Finlandia;Febrero;73
Balears, Illes;Finlandia;Marzo;139
Balears, Illes;Finlandia;Abril;436
Balears, Illes;Finlandia;Mayo;1.069
Balears, Illes;Finlandia;Junio;1.629
Balears, Illes;Finlandia;Julio;1.137
Balears, Illes;Finlandia;Agosto;994
Balears, Illes;Finlandia;Septiembre;1.835
Balears, Illes;Finlandia;Octubre;1.474
Balears, Illes;Finlandia;Noviembre;149
Balears, Illes;Finlandia;Diciembre;168
Balears, Illes;Francia;Enero;47
Balears, Illes;Francia;Febrero;99
Balears, Illes;Francia;Marzo;327
Balears, Illes;Francia;Abril;1.802
Balears, Illes;Francia;Mayo;7.039
Balears, Illes;Francia;Junio;8.659
Balears, Illes;Francia;Julio;11.397
Balears, Illes;Francia;Agosto;12.029
Balears, Illes;Francia;Septiembre;7.301
Balears, Illes;Francia;Octubre;3.274
Balears, Illes;Francia;Noviembre;62
Balears, Illes;Francia;Diciembre;81
Balears, Illes;Grecia;Enero;33
Balears, Illes;Grecia;Febrero;30
Balears, Illes;Grecia;Marzo;..
Balears, Illes;Grecia;Abril;..
Balears, Illes;Grecia;Mayo;56
Balears, Illes;Grecia;Junio;164
Balears, Illes;Grecia;Julio;177
Balears, Illes;Grecia;Agosto;278
Balears, Illes;Grecia;Septiembre;51
Balears, Illes;Grecia;Octubre;15
Balears, Illes;Grecia;Noviembre;..
Balears, Illes;Grecia;Diciembre;10
Balears, Illes;Irlanda;Enero;60
Balears, Illes;Irlanda;Febrero;48
Balears, Illes;Irlanda;Marzo;33
Balears, Illes;Irlanda;Abril;1.536
Balears, Illes;Irlanda;Mayo;6.234
Balears, Illes;Irlanda;Junio;7.686
Balears, Illes;Irlanda;Julio;7.042
Balears, Illes;Irlanda;Agosto;7.404
Balears, Illes;Irlanda;Septiembre;6.005
Balears, Illes;Irlanda;Octubre;2.908
Balears, Illes;Irlanda;Noviembre;..
Balears, Illes;Irlanda;Diciembre;..
Balears, Illes;Italia;Enero;46
Balears, Illes;Italia;Febrero;60
Balears, Illes;Italia;Marzo;134
Balears, Illes;Italia;Abril;816
