Provincias;País de residencia;Meses;Total
07 Balears, Illes;Francia;Abril;6.864
07 Balears, Illes;Francia;Mayo;43.754
07 Balears, Illes;Francia;Junio;57.098
07 Balears, Illes;Francia;Julio;85.035
07 Balears, Illes;Francia;Agosto;101.554
07 Balears, Illes;Francia;Septiembre;58.860
07 Balears, Illes;Francia;Octubre;19.731
07 Balears, Illes;Francia;Noviembre;566
07 Balears, Illes;Francia;Diciembre;560
07 Balears, Illes;Grecia;Enero;..
07 Balears, Illes;Grecia;Febrero;48
07 Balears, Illes;Grecia;Marzo;32
07 Balears, Illes;Grecia;Abril;..
07 Balears, Illes;Grecia;Mayo;466
07 Balears, Illes;Grecia;Junio;695
07 Balears, Illes;Grecia;Julio;1.548
07 Balears, Illes;Grecia;Agosto;1.453
07 Balears, Illes;Grecia;Septiembre;1.140
07 Balears, Illes;Grecia;Octubre;1.321
07 Balears, Illes;Grecia;Noviembre;46
07 Balears, Illes;Grecia;Diciembre;..
07 Balears, Illes;Irlanda;Enero;..
07 Balears, Illes;Irlanda;Febrero;294
07 Balears, Illes;Irlanda;Marzo;341
07 Balears, Illes;Irlanda;Abril;11.139
07 Balears, Illes;Irlanda;Mayo;37.405
07 Balears, Illes;Irlanda;Junio;55.309
07 Balears, Illes;Irlanda;Julio;58.198
07 Balears, Illes;Irlanda;Agosto;46.387
07 Balears, Illes;Irlanda;Septiembre;43.986
07 Balears, Illes;Irlanda;Octubre;22.908
07 Balears, Illes;Irlanda;Noviembre;48
07 Balears, Illes;Irlanda;Diciembre;..
07 Balears, Illes;Italia;Enero;96
07 Balears, Illes;Italia;Febrero;390
07 Balears, Illes;Italia;Marzo;1.381
07 Balears, Illes;Italia;Abril;5.261
07 Balears, Illes;Italia;Mayo;33.920
07 Balears, Illes;Italia;Junio;78.914
07 Balears, Illes;Italia;Julio;133.123
07 Balears, Illes;Italia;Agosto;215.399
07 Balears, Illes;Italia;Septiembre;104.140
07 Balears, Illes;Italia;Octubre;20.025
07 Balears, Illes;Italia;Noviembre;446
07 Balears, Illes;Italia;Diciembre;483
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;224
07 Balears, Illes;Luxemburgo;Marzo;177
07 Balears, Illes;Luxemburgo;Abril;..
07 Balears, Illes;Luxemburgo;Mayo;2.085
07 Balears, Illes;Luxemburgo;Junio;1.165
07 Balears, Illes;Luxemburgo;Julio;1.554
07 Balears, Illes;Luxemburgo;Agosto;1.631
07 Balears, Illes;Luxemburgo;Septiembre;859
07 Balears, Illes;Luxemburgo;Octubre;170
07 Balears, Illes;Luxemburgo;Noviembre;98
07 Balears, Illes;Luxemburgo;Diciembre;..
07 Balears, Illes;Países Bajos;Enero;258
07 Balears, Illes;Países Bajos;Febrero;356
07 Balears, Illes;Países Bajos;Marzo;1.444
07 Balears, Illes;Países Bajos;Abril;8.063
07 Balears, Illes;Países Bajos;Mayo;96.240
07 Balears, Illes;Países Bajos;Junio;102.096
07 Balears, Illes;Países Bajos;Julio;113.454
07 Balears, Illes;Países Bajos;Agosto;111.327
07 Balears, Illes;Países Bajos;Septiembre;83.493
07 Balears, Illes;Países Bajos;Octubre;58.965
07 Balears, Illes;Países Bajos;Noviembre;204
07 Balears, Illes;Países Bajos;Diciembre;407
07 Balears, Illes;Polonia;Enero;307
07 Balears, Illes;Polonia;Febrero;270
07 Balears, Illes;Polonia;Marzo;746
07 Balears, Illes;Polonia;Abril;6.605
07 Balears, Illes;Polonia;Mayo;11.473
07 Balears, Illes;Polonia;Junio;17.138
07 Balears, Illes;Polonia;Julio;22.179
07 Balears, Illes;Polonia;Agosto;20.257
07 Balears, Illes;Polonia;Septiembre;30.782
07 Balears, Illes;Polonia;Octubre;15.831
07 Balears, Illes;Polonia;Noviembre;658
07 Balears, Illes;Polonia;Diciembre;423
07 Balears, Illes;Portugal;Enero;40
07 Balears, Illes;Portugal;Febrero;84
07 Balears, Illes;Portugal;Marzo;158
07 Balears, Illes;Portugal;Abril;1.185
07 Balears, Illes;Portugal;Mayo;2.145
07 Balears, Illes;Portugal;Junio;4.491
07 Balears, Illes;Portugal;Julio;7.312
07 Balears, Illes;Portugal;Agosto;13.172
07 Balears, Illes;Portugal;Septiembre;7.879
07 Balears, Illes;Portugal;Octubre;1.361
07 Balears, Illes;Portugal;Noviembre;64
07 Balears, Illes;Portugal;Diciembre;134
07 Balears, Illes;Reino Unido;Enero;1.438
07 Balears, Illes;Reino Unido;Febrero;3.137
07 Balears, Illes;Reino Unido;Marzo;9.707
07 Balears, Illes;Reino Unido;Abril;101.202
07 Balears, Illes;Reino Unido;Mayo;426.951
07 Balears, Illes;Reino Unido;Junio;581.880
07 Balears, Illes;Reino Unido;Julio;623.371
07 Balears, Illes;Reino Unido;Agosto;727.042
07 Balears, Illes;Reino Unido;Septiembre;550.735
07 Balears, Illes;Reino Unido;Octubre;324.224
07 Balears, Illes;Reino Unido;Noviembre;5.744
07 Balears, Illes;Reino Unido;Diciembre;5.872
07 Balears, Illes;Republica Checa;Enero;57
07 Balears, Illes;Republica Checa;Febrero;56
07 Balears, Illes;Republica Checa;Marzo;1.180
07 Balears, Illes;Republica Checa;Abril;542
07 Balears, Illes;Republica Checa;Mayo;1.297
07 Balears, Illes;Republica Checa;Junio;6.049
07 Balears, Illes;Republica Checa;Julio;10.355
07 Balears, Illes;Republica Checa;Agosto;5.970
07 Balears, Illes;Republica Checa;Septiembre;6.563
07 Balears, Illes;Republica Checa;Octubre;2.025
07 Balears, Illes;Republica Checa;Noviembre;68
07 Balears, Illes;Republica Checa;Diciembre;282
07 Balears, Illes;Suecia;Enero;1.483
07 Balears, Illes;Suecia;Febrero;2.078
07 Balears, Illes;Suecia;Marzo;3.625
07 Balears, Illes;Suecia;Abril;12.400
07 Balears, Illes;Suecia;Mayo;67.583
07 Balears, Illes;Suecia;Junio;94.243
07 Balears, Illes;Suecia;Julio;90.638
07 Balears, Illes;Suecia;Agosto;87.547
07 Balears, Illes;Suecia;Septiembre;80.732
07 Balears, Illes;Suecia;Octubre;27.538
07 Balears, Illes;Suecia;Noviembre;1.930
07 Balears, Illes;Suecia;Diciembre;956
07 Balears, Illes;Resto de la UE;Enero;..
07 Balears, Illes;Resto de la UE;Febrero;192
07 Balears, Illes;Resto de la UE;Marzo;228
07 Balears, Illes;Resto de la UE;Abril;4.194
07 Balears, Illes;Resto de la UE;Mayo;12.243
07 Balears, Illes;Resto de la UE;Junio;15.650
07 Balears, Illes;Resto de la UE;Julio;22.244
07 Balears, Illes;Resto de la UE;Agosto;18.998
07 Balears, Illes;Resto de la UE;Septiembre;20.167
07 Balears, Illes;Resto de la UE;Octubre;12.311
07 Balears, Illes;Resto de la UE;Noviembre;739
07 Balears, Illes;Resto de la UE;Diciembre;406
07 Balears, Illes;Noruega;Enero;1.607
07 Balears, Illes;Noruega;Febrero;1.802
07 Balears, Illes;Noruega;Marzo;2.798
07 Balears, Illes;Noruega;Abril;3.232
07 Balears, Illes;Noruega;Mayo;21.846
07 Balears, Illes;Noruega;Junio;31.272
07 Balears, Illes;Noruega;Julio;60.136
07 Balears, Illes;Noruega;Agosto;30.830
07 Balears, Illes;Noruega;Septiembre;24.107
07 Balears, Illes;Noruega;Octubre;14.967
07 Balears, Illes;Noruega;Noviembre;440
07 Balears, Illes;Noruega;Diciembre;385
07 Balears, Illes;Rusia;Enero;405
07 Balears, Illes;Rusia;Febrero;56
07 Balears, Illes;Rusia;Marzo;146
07 Balears, Illes;Rusia;Abril;369
07 Balears, Illes;Rusia;Mayo;3.608
07 Balears, Illes;Rusia;Junio;8.480
07 Balears, Illes;Rusia;Julio;9.066
07 Balears, Illes;Rusia;Agosto;9.611
07 Balears, Illes;Rusia;Septiembre;10.251
07 Balears, Illes;Rusia;Octubre;3.571
07 Balears, Illes;Rusia;Noviembre;285
07 Balears, Illes;Rusia;Diciembre;286
07 Balears, Illes;Suiza;Enero;289
07 Balears, Illes;Suiza;Febrero;616
07 Balears, Illes;Suiza;Marzo;874
07 Balears, Illes;Suiza;Abril;4.889
07 Balears, Illes;Suiza;Mayo;7.731
07 Balears, Illes;Suiza;Junio;10.876
07 Balears, Illes;Suiza;Julio;20.185
07 Balears, Illes;Suiza;Agosto;13.145
07 Balears, Illes;Suiza;Septiembre;12.716
07 Balears, Illes;Suiza;Octubre;10.763
07 Balears, Illes;Suiza;Noviembre;476
07 Balears, Illes;Suiza;Diciembre;613
07 Balears, Illes;Resto de Europa;Enero;225
07 Balears, Illes;Resto de Europa;Febrero;138
07 Balears, Illes;Resto de Europa;Marzo;619
07 Balears, Illes;Resto de Europa;Abril;1.043
07 Balears, Illes;Resto de Europa;Mayo;3.165
07 Balears, Illes;Resto de Europa;Junio;7.059
07 Balears, Illes;Resto de Europa;Julio;8.116
07 Balears, Illes;Resto de Europa;Agosto;9.625
07 Balears, Illes;Resto de Europa;Septiembre;9.554
07 Balears, Illes;Resto de Europa;Octubre;9.145
07 Balears, Illes;Resto de Europa;Noviembre;84
07 Balears, Illes;Resto de Europa;Diciembre;141
07 Balears, Illes;Estados Unidos;Enero;275
07 Balears, Illes;Estados Unidos;Febrero;794
07 Balears, Illes;Estados Unidos;Marzo;962
07 Balears, Illes;Estados Unidos;Abril;1.814
07 Balears, Illes;Estados Unidos;Mayo;4.388
07 Balears, Illes;Estados Unidos;Junio;6.325
07 Balears, Illes;Estados Unidos;Julio;6.705
07 Balears, Illes;Estados Unidos;Agosto;6.589
07 Balears, Illes;Estados Unidos;Septiembre;4.656
07 Balears, Illes;Estados Unidos;Octubre;1.851
07 Balears, Illes;Estados Unidos;Noviembre;908
07 Balears, Illes;Estados Unidos;Diciembre;1.305
07 Balears, Illes;Resto de América;Enero;484
07 Balears, Illes;Resto de América;Febrero;642
07 Balears, Illes;Resto de América;Marzo;1.168
07 Balears, Illes;Resto de América;Abril;1.306
07 Balears, Illes;Resto de América;Mayo;7.248
07 Balears, Illes;Resto de América;Junio;10.079
07 Balears, Illes;Resto de América;Julio;12.567
07 Balears, Illes;Resto de América;Agosto;8.543
07 Balears, Illes;Resto de América;Septiembre;9.482
07 Balears, Illes;Resto de América;Octubre;4.666
07 Balears, Illes;Resto de América;Noviembre;790
07 Balears, Illes;Resto de América;Diciembre;1.147
07 Balears, Illes;Países Africanos;Enero;87
07 Balears, Illes;Países Africanos;Febrero;44
07 Balears, Illes;Países Africanos;Marzo;94
07 Balears, Illes;Países Africanos;Abril;451
07 Balears, Illes;Países Africanos;Mayo;674
07 Balears, Illes;Países Africanos;Junio;3.915
07 Balears, Illes;Países Africanos;Julio;3.013
07 Balears, Illes;Países Africanos;Agosto;3.361
07 Balears, Illes;Países Africanos;Septiembre;2.443
07 Balears, Illes;Países Africanos;Octubre;686
07 Balears, Illes;Países Africanos;Noviembre;141
07 Balears, Illes;Países Africanos;Diciembre;273
07 Balears, Illes;Resto del mundo;Enero;768
07 Balears, Illes;Resto del mundo;Febrero;936
07 Balears, Illes;Resto del mundo;Marzo;1.552
07 Balears, Illes;Resto del mundo;Abril;3.218
07 Balears, Illes;Resto del mundo;Mayo;7.544
07 Balears, Illes;Resto del mundo;Junio;9.954
07 Balears, Illes;Resto del mundo;Julio;24.957
07 Balears, Illes;Resto del mundo;Agosto;25.747
07 Balears, Illes;Resto del mundo;Septiembre;10.191
07 Balears, Illes;Resto del mundo;Octubre;3.826
07 Balears, Illes;Resto del mundo;Noviembre;998
07 Balears, Illes;Resto del mundo;Diciembre;1.857
08 Barcelona;Total;Enero;146.132
08 Barcelona;Total;Febrero;139.250
08 Barcelona;Total;Marzo;162.062
08 Barcelona;Total;Abril;164.419
08 Barcelona;Total;Mayo;172.263
08 Barcelona;Total;Junio;182.764
08 Barcelona;Total;Julio;144.459
08 Barcelona;Total;Agosto;146.735
08 Barcelona;Total;Septiembre;170.352
08 Barcelona;Total;Octubre;173.870
08 Barcelona;Total;Noviembre;146.736
08 Barcelona;Total;Diciembre;147.552
08 Barcelona;Residentes en España;Enero;74.153
08 Barcelona;Residentes en España;Febrero;66.787
08 Barcelona;Residentes en España;Marzo;79.677
08 Barcelona;Residentes en España;Abril;73.831
08 Barcelona;Residentes en España;Mayo;74.637
08 Barcelona;Residentes en España;Junio;76.077
08 Barcelona;Residentes en España;Julio;35.845
08 Barcelona;Residentes en España;Agosto;38.858
08 Barcelona;Residentes en España;Septiembre;77.294
08 Barcelona;Residentes en España;Octubre;77.297
08 Barcelona;Residentes en España;Noviembre;71.767
08 Barcelona;Residentes en España;Diciembre;76.374
08 Barcelona;No residentes en España;Enero;71.979
08 Barcelona;No residentes en España;Febrero;72.463
08 Barcelona;No residentes en España;Marzo;82.384
08 Barcelona;No residentes en España;Abril;90.588
08 Barcelona;No residentes en España;Mayo;97.626
08 Barcelona;No residentes en España;Junio;106.687
08 Barcelona;No residentes en España;Julio;108.614
08 Barcelona;No residentes en España;Agosto;107.876
08 Barcelona;No residentes en España;Septiembre;93.057
08 Barcelona;No residentes en España;Octubre;96.573
08 Barcelona;No residentes en España;Noviembre;74.969
08 Barcelona;No residentes en España;Diciembre;71.178
08 Barcelona;Unión Europea (sin España);Enero;31.330
08 Barcelona;Unión Europea (sin España);Febrero;35.983
08 Barcelona;Unión Europea (sin España);Marzo;41.941
08 Barcelona;Unión Europea (sin España);Abril;49.883
08 Barcelona;Unión Europea (sin España);Mayo;51.470
08 Barcelona;Unión Europea (sin España);Junio;55.677
08 Barcelona;Unión Europea (sin España);Julio;60.110
08 Barcelona;Unión Europea (sin España);Agosto;71.601
08 Barcelona;Unión Europea (sin España);Septiembre;48.093
08 Barcelona;Unión Europea (sin España);Octubre;50.874
08 Barcelona;Unión Europea (sin España);Noviembre;34.290
08 Barcelona;Unión Europea (sin España);Diciembre;32.054
08 Barcelona;Alemania;Enero;4.073
08 Barcelona;Alemania;Febrero;6.287
08 Barcelona;Alemania;Marzo;7.016
08 Barcelona;Alemania;Abril;6.032
08 Barcelona;Alemania;Mayo;7.634
08 Barcelona;Alemania;Junio;9.003
08 Barcelona;Alemania;Julio;8.278
08 Barcelona;Alemania;Agosto;5.979
08 Barcelona;Alemania;Septiembre;5.779
08 Barcelona;Alemania;Octubre;7.802
08 Barcelona;Alemania;Noviembre;3.869
08 Barcelona;Alemania;Diciembre;3.610
08 Barcelona;Austria;Enero;360
08 Barcelona;Austria;Febrero;202
08 Barcelona;Austria;Marzo;891
08 Barcelona;Austria;Abril;670
08 Barcelona;Austria;Mayo;1.102
08 Barcelona;Austria;Junio;746
08 Barcelona;Austria;Julio;763
08 Barcelona;Austria;Agosto;708
08 Barcelona;Austria;Septiembre;804
08 Barcelona;Austria;Octubre;1.383
08 Barcelona;Austria;Noviembre;618
08 Barcelona;Austria;Diciembre;528
08 Barcelona;Bélgica;Enero;477
08 Barcelona;Bélgica;Febrero;474
08 Barcelona;Bélgica;Marzo;691
08 Barcelona;Bélgica;Abril;1.826
08 Barcelona;Bélgica;Mayo;1.135
08 Barcelona;Bélgica;Junio;1.179
08 Barcelona;Bélgica;Julio;2.189
08 Barcelona;Bélgica;Agosto;2.672
08 Barcelona;Bélgica;Septiembre;1.637
08 Barcelona;Bélgica;Octubre;1.286
08 Barcelona;Bélgica;Noviembre;1.050
08 Barcelona;Bélgica;Diciembre;1.017
08 Barcelona;Dinamarca;Enero;428
08 Barcelona;Dinamarca;Febrero;740
08 Barcelona;Dinamarca;Marzo;1.538
08 Barcelona;Dinamarca;Abril;967
08 Barcelona;Dinamarca;Mayo;878
08 Barcelona;Dinamarca;Junio;847
08 Barcelona;Dinamarca;Julio;2.769
08 Barcelona;Dinamarca;Agosto;796
08 Barcelona;Dinamarca;Septiembre;869
08 Barcelona;Dinamarca;Octubre;1.471
08 Barcelona;Dinamarca;Noviembre;761
08 Barcelona;Dinamarca;Diciembre;481
08 Barcelona;Finlandia;Enero;245
08 Barcelona;Finlandia;Febrero;682
08 Barcelona;Finlandia;Marzo;879
08 Barcelona;Finlandia;Abril;648
08 Barcelona;Finlandia;Mayo;644
08 Barcelona;Finlandia;Junio;951
08 Barcelona;Finlandia;Julio;643
08 Barcelona;Finlandia;Agosto;267
08 Barcelona;Finlandia;Septiembre;199
08 Barcelona;Finlandia;Octubre;913
08 Barcelona;Finlandia;Noviembre;155
08 Barcelona;Finlandia;Diciembre;183
08 Barcelona;Francia;Enero;6.242
08 Barcelona;Francia;Febrero;7.086
08 Barcelona;Francia;Marzo;6.959
08 Barcelona;Francia;Abril;11.589
08 Barcelona;Francia;Mayo;8.651
08 Barcelona;Francia;Junio;7.773
08 Barcelona;Francia;Julio;12.735
08 Barcelona;Francia;Agosto;22.049
08 Barcelona;Francia;Septiembre;7.913
08 Barcelona;Francia;Octubre;10.194
08 Barcelona;Francia;Noviembre;6.974
08 Barcelona;Francia;Diciembre;7.836
08 Barcelona;Grecia;Enero;..
08 Barcelona;Grecia;Febrero;..
08 Barcelona;Grecia;Marzo;229
08 Barcelona;Grecia;Abril;483
08 Barcelona;Grecia;Mayo;485
08 Barcelona;Grecia;Junio;542
